accomplishment,"n. 成就, 完成"
miserable,a. 悲惨的；痛苦的；卑鄙的
myth,"n. 神话, 虚构的事, 虚构的人"
nucleus,"n. 核心, 核子, 原子核, 起点
"
odor,"n. 气味, 香味, 名声, 意味
"
optical,"a. 眼睛的, 视觉的, 光学的
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
owl,"n. 猫头鹰
"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
personnel,"n. 人员, 人事部门, 人事科(处)
"
physiology,"n. 生理学, 生理机能
"
picky,"a. 吹毛求疵的, 挑剔的, 找麻烦的"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
pointed,"a. 尖的, 有尖顶的, 锐利的, 率直的, 显然的"
positive,"a. 肯定的, 积极的, 有把握的
"
potter,"n. 陶工, 制陶工人"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
proprietor,"n. 所有者
"
quiescent,"a. 静止的, 不活动的, 寂静的
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
soccer,n. 英式足球
solar,"a. 太阳的, 日光的, 源自太阳的
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
starch,"n. 淀粉, 浆糊, 刻板
vt. 浆硬"
sweeping,"n. 扫除, 垃圾
a. 扫荡的, 彻底的, 广泛的"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
talent,"n. 天才, 才能, 有才干的人, 天资"
tendon,"n. 腱
"
trilogy,"n. 三部剧, 三部曲
"
twinkling,"a. 闪烁的, 闪亮的, 闪光的
n. 闪烁, 瞬间"
unequal,"a. 不相等的, 不规则的, 不能胜任的
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
additional,"a. 附加的, 另外的, 额外的
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advent,"n. 来到, 来临"
amusement,"n. 兴味, 娱乐, 消遣
"
analysis,"n. 分析
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
apportion,"vt. 分配, 分摊, 分派
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
buffalo,"n. 水牛
"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
cannibalism,"n. 嗜食同类, 食人, 嗜血成性"
characterize,"vt. 描绘...的特性, 刻划...的性格"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
clay,"n. 泥土, 肉体, 黏土
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
comparative,"a. 比较的, 相对的
n. 对手"
competence,"n. 胜任, 职称, 能力
"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
crooked,"a. 弯曲的, 歪的, 邪恶的"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
debut,"n. 初次登台, 开张
v. 初次登台"
descent,"n. 降落, 家系, 侵袭, 血统
"
devastate,"vt. 毁坏
"
development,"n. 发展
"
dignity,"n. 尊严, 高贵
"
dormancy,"n. 不活动性, 休眠, 蛰伏
"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
entrepreneur,"n. 企业家, 主办人
"
excavate,"v. 挖空, 挖出, 凿通"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
exemplary,"a. 可仿效的, 可做模范的, 惩戒性的, 示范的
"
extent,"n. 范围, 程度, 区域
"
favorable,"a. 有利的, 赞许的, 良好的"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
furnish,"vt. 供给, 提供, 装设
"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
haircut,"n. 理发, (男子的)发式"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
inspection,"n. 检验, 检查, 视察
"
lethargy,"n. 昏睡, 瞌睡, 无力气
"
lipid,"n. 脂类, 类脂物, 脂质
"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
operate,"v. 操作, 运转, 动手术, 活动"
parachute,"n. 降落伞
vi. 跳伞"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
perpetuate,"vt. 使永存, 使不朽, 保持"
plank,"n. 厚木板, 支架, 木板制品, 冲浪板, 救急物, 政纲条目
vt. 在...上铺板, 撂下, 立即付款"
pollinate,vt. 对...授粉
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
residue,"n. 残渣, 剩余, 余数
"
restraint,"n. 抑制, 克制, 束缚
"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
stylish,"a. 现代风格的, 流行的, 潇洒的"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
syrup,"n. 糖浆, 果汁
"
tedious,"a. 沉闷的, 冗长乏味的"
topography,"n. 地志, 地形学, 地势, 局部解剖学
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
underneath,"adv. 在下面
prep. 在...的下面"
wasp,"n. 黄蜂, 胡蜂, 易怒的人, 刻毒的人
"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
agile,"a. 敏捷的, 灵活的, 机敏的"
allocation,"n. 配置, 分配, 拨给
"
attorney,"n. 代理人, 律师
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
bookstore,n. 书店
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
cease,"n. 停止
v. 停止, 终了"
ceremonial,"n. 仪式
a. 正式的"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
concentration,"n. 集中, 专心
"
deciduous,"a. 每年落叶的, 非永久性的
"
deduct,"vt. 扣除, 减去
"
definite,"a. 明确的, 一定的
"
dense,"a. 密集的, 浓厚的"
deteriorate,v. (使)恶化
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
domain,"n. 领域, 领土, 产业, 范围
"
economical,"a. 节俭的, 经济的, 合算的
"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
evident,"a. 显然的, 明显的"
evoke,"vt. 唤起, 引起, 召(魂)
"
experimental,"a. 实验的, 根据实验的
"
explosion,"n. 爆发, 激增, 爆炸(声)
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
foreshorten,"vt. 照透视法缩短, 缩短"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
gourd,n. 葫芦
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
hoe,"n. 锄头
v. 用锄耕地, 锄"
hummingbird,n. 蜂鸟
influx,"n. 流入, 河口, 汇集
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
innovation,"n. 改革, 创新
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
luminosity,"n. 光明, 光辉, 光度, 亮度
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
melodrama,"n. 音乐剧, 传奇剧, 戏剧似的事件"
millennium,"n. 千禧年, 一千年"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
neolithic,a. 新石器时代的
nitrogen,"n. 氮
"
notify,"vt. 通知, 通告, 报告
"
poverty,"n. 贫穷, 贫困, 缺乏
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
promising,"a. 有希望的, 前途有望的
"
promptly,"adv. 敏捷地, 迅速地"
reception,"n. 接待, 接受, 招待会
"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
rely,"vi. 信赖, 依赖, 信任"
repertory,"n. 仓库, 库存, 储备, 保留剧目轮演"
replace,"vt. 代替, 替换, 放回, 归还
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
ripe,"a. 成熟的, 熟练的, 成年的
"
saving,"n. 存款, 挽救, 节约
a. 搭救的, 节约的, 保留的, 补偿的
prep. 除...之外"
seismograph,"n. 地震仪
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
sieve,"n. 筛子, 滤网
vt. 筛, 滤"
soda,"n. 苏打, 碳酸水
"
spectrum,"n. 光谱, 范围, 系列
"
spew,"vi. 呕吐, 喷涌
vt. 呕出, 喷
n. 呕吐物, 喷涌物"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
stagecoach,n. 公共马车
staggered,a. 吃惊的；错列的
stimulus,"n. 刺激, 激励, 刺激品
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
sufficient,"a. 充分的, 足够的
"
unbridgeable,"a. 不能架桥的, 不能逾越的"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
weathering,"n. 泻水坡, 风化
"
accurate,"a. 正确的, 精确的
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
allude,"vi. 暗指, 提及"
alumnus,"n. 男毕业生, 男校友"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
anarchist,"n. 无政府主义者
"
bleach,"vt. 漂白
vi. 变白
n. 漂白, 漂白剂"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
brilliance,"n. 卓越, 光辉
"
checked,"a. 有格子图案的, 闭音节的, 选中的
"
choreograph,v. 设计舞蹈动作
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
condensation,"n. 压缩, 凝缩, 冷凝
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
corrosion,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
creative,"a. 有创造力的, 创作的, 产生的"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
distort,"vt. 扭曲, 歪曲
"
dragonfly,n. 蜻蜓
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
ecological,"a. 生态学的, 主张生态保护的
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
exorbitant,"a. 过度的, 过高的, 过分的"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
flavor,"n. 滋味, 调味品
vt. 加味于"
foliage,"n. 树叶, 植物"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
graphics,"n. 制图法, 制图学, 图解算法, 图形显示
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
homing,"n. 归航, 动物的返回性
a. 有返回性的, 回家的"
imbibe,"vt. 饮, 吸取, 吸入
vi. 喝, 吸收水分"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
infectious,"a. 有传染性的, 易传染的
"
influenza,"n. 流行性感冒
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
meteor,"n. 流星, 大气现象"
microscopic,"a. 显微镜的, 用显微镜可见的, 微观的, (非正式)极微小的, 细微的
"
mighty,"n. 有势力的人
a. 有势力的, 强大的, 有力的
adv. 很, 极"
minimum,"a. 最小的, 最低的
n. 最小值
"
naturalist,n. 自然主义者
negate,"vt. 否定, 否认, 取消
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
novelty,"n. 新奇, 新鲜, 新奇的事物"
occasional,"a. 偶然的, 临时的
"
origin,"n. 起源, 起因, 出身, 开端
"
palatable,"a. 美味的, 好吃的, 可口的
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
patron,"n. 赞助人, 顾客, 保护人
"
penicillin,"n. 盘尼西林, 青霉素
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
postage,"n. 邮资
"
preferable,"a. 更可取的, 更好的, 更合意的"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
radically,"adv. 根本地, 完全地"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
silversmith,n. 银(器)匠
statesman,n. 政治家
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
synthesize,"v. 综合, 合成"
systematic,"a. 有系统的, 分类上的, 体系的
"
toed,"a. 有趾的, 斜着钉进去的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
tribal,"a. 部落的, 宗族的"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
untapped,"a. 塞子未开的, 未利用的"
walnut,"n. 胡桃
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
atrophy,"n. 萎缩, 萎缩症
"
awkward,"a. 笨拙的, 棘手的"
backlighting,"n. 逆光
v. 背后照明( backlight的现在分词 )"
benign,"a. 善良的, 良性的
"
bog,"n. 沼泽
vt. 使陷于泥沼
vi. 陷于泥沼"
celebrated,"a. 驰名的, 有名的"
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
circuit,"n. 电路, 环(行)道, 巡回
"
circumstance,"n. 环境, 状况, 事件"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
constitution,"n. 构成, 宪法, 体格
"
conventional,"a. 传统的, 习惯的, 约定的
"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
dentist,"n. 牙科医生
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
disappoint,vt. 使失望
disease,"n. 疾病, 弊病
"
embody,"vt. 具体表达, 使具体化
"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
fabricate,"vt. 制造, 建造, 装配, 伪造"
foment,"vt. 热敷, 煽动"
geometry,"n. 几何学
"
gilding,"n. 镀金, 镀金材料, 涂金, 虚饰的外观, 假象
"
gonna,abbr. （美）将要（等于going to）
hydrothermal,[医] 热水的(温泉)
immunity,"n. 免疫, 免疫性, 免除
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
innate,"a. 先天的, 天生的
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
intrude,"vi. 闯入, 侵入
vt. 强加于"
Jupiter,"n. 朱庇物(罗马神话中的主神), 木星"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
mesmerize,"vt. 施催眠术, 迷住, 迷惑
"
metropolis,"n. 大都市, 重要中心, 首府
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
nonverbal,a. 不用语言的；不用动词的
obsess,"vt. 迷住, 使困扰"
overview,"n. 概述, 概观, 总的看法
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
plaque,"n. 匾, 饰板, 名牌, 勋章, 胸襟饰物, 血小板"
playwright,n. 剧作家
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
prolonged,"a. 延续的, 长时间的"
property,"n. 财产, 所有权, 性质, 属性
"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
republic,"n. 共和国, 共和政体, 团体, 界"
reside,"vi. 住, 居留, 属于
"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
simultaneous,"a. 同时的, 同时发生的
"
snowflake,"n. 雪片, 雪花, 雪片莲"
solder,"n. 焊接剂, 接合物
v. 施以焊接, 焊合, 联结"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
stimulation,"n. 刺激, 激励, 鼓舞
"
subliminal,"a. 下意识的, 潜在意识的
"
subsidize,"vt. 补助, 资助, 贿赂
"
surgery,"n. 外科, 手术, 手术室, 换球术"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
vacation,"n. 假期, 休假
"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
agitation,"n. 激动, 焦虑, 煽动, 搅动, 摇动
"
ample,"a. 大量的, 充足的, 丰富的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
argument,"n. 争论, 论证, 论据, 自变量
"
asset,"n. 资产, 有益的东西"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
bandanna,n. 一各印花大手帕
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
bison,n. 野牛
bland,"a. 温和的, 乏味的, 冷漠的
"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
canyon,"n. 峡谷, 海底悬崖"
capacity,"n. 容量, 能力, 才能, 资格
"
chlorine,"n. 氯
"
choreographer,n. 舞蹈指导
chunk,"n. 大块, 矮胖的人(或物)
"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
codify,"vt. 编成法典
"
commerce,"n. 商业, 商务, 贸易
"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
continuity,"n. 连续性
"
copper,"n. 铜, 警察
"
crater,"n. 火山口, 环行山, 弹坑
"
crucial,"a. 决定性的, 重要的, 严厉的
"
cubism,n. 立体派
democratic,"a. 民主的
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
deprive,"vt. 剥夺, 使丧失
"
disciple,"n. 弟子, 门徒"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
dozen,"n. 打, 十二个
a. 一打的"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
garbage,"n. 垃圾, 废物
"
gorgeous,"a. 华丽的, 灿烂的"
incapacitate,"vt. 使无能力, 使无行为能力
"
indigestion,"n. 消化不良
"
lethal,"a. 致命的
n. 致死因子"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
literature,"n. 文学, 文艺, 著作
"
membrane,"n. 薄膜, 膜, 羊皮纸
"
meteorite,"n. 陨星
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
nocturnal,"a. 夜的, 夜曲的
"
nominate,"vt. 提名, 任命, 命名
"
notch,"n. 刻痕, 等级, 峡谷
vt. 刻凹痕, 用刻痕计算, 赢得"
