intellect,"n. 智力, 出众的才华, 知识分子
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
quantity,"n. 量, 数量, 总量
"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
unacceptable,"a. 无法接受的, 不受欢迎的
"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
abound,"vi. 大量存在, 富于, 充满"
back-up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
calorie,n. 卡路里（热量单位）
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
nasty,"a. 污秽的, 下流的, 险恶的"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
raft,"n. 筏, 救生筏, 大量
vi. 乘筏
vt. 筏运, 制成筏"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
bizarre,a. 奇异的
budding,"a. 萌芽的, 发育期的, 初露头角的
n. 发芽"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
co-worker,"n. 共同工作者
"
dense,"a. 密集的, 浓厚的"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
goal-focused,[网络] 明确的目标；明确的工作目标；明确目标
heaven,"n. 天堂, 上帝, 天空"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
introductory,"a. 介绍的, 引导的, 开端的"
landowner,"n. 地主
"
lone,"a. 孤单的, 孤立的, 单身的, 寂寞的"
methodology,"n. 方法学, 方法论
"
oversimplify,v. (使)过分地单纯化
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
publishing,"n. 出版, 刊印, 发行"
rising,"n. 上升, 造反, 叛乱
a. 上升的, 高涨的, 新兴的"
screener,筛
skyscraper,"n. 摩天楼, 三角形天帆"
supporter,"n. 支持者, 后盾, 迫随者, 护身织物
"
thinness,"n. 薄, 细, 瘦
"
unnamed,"a. 未命名的, 没有名字的, 未提及的
"
viscerally,adv. visceral（内脏的；发自肺腑的）的变形
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
about-face,"v. 〈美〉向后转(指操练动作),(立场,观点的)彻底改变"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
economy,"n. 经济, 理财, 节约
"
fad,"n. 时尚
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
hale,"a. 强壮的, 矍铄的, 健壮的
vt. 猛拉, 拖曳"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
kit,"n. 装备, 工具箱, 成套工具
"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
talent,"n. 天才, 才能, 有才干的人, 天资"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
danger,"n. 危险, 威胁
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
knight,"n. 骑士, 爵士
vt. 授以爵位"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
runner,"n. 跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽
"
self-defence,"n. 自卫(术)；【法】自卫权；正当权利
"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
tier,"n. 排, 层, 等级"
unrealistically,adv. 不切实际地；不现实地
volcano,n. 火山
wholly,"adv. 完全地, 整个, 统统, 全部
"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
believe,v. 相信
create,"vt. 创造, 建造, 引起, 任命"
mutual,"a. 相互的, 共有的
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
proficiency,"n. 精通, 熟练, 精练"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
transcendence,"n. 超越, 卓越, 卓绝"
disintegrate,"vt. (使)分解, (使)碎裂
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
stakeholder,"n. 赌金保管者
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
nationwide,"a. 全国性的
"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
protoscience,[网络] 原科学；前科学；原论科学
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
saliva,"n. 唾液, 唾沫, 涎
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
absence,"n. 缺席, 缺乏, 没有
"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
bipedal,[医] 两足的
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
hall,"n. 门厅, 走廊, 会堂"
knit,"v. 编织, 结合"
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
legal,"a. 法律的, 法定的, 合法的
"
native-born,adj. 本地生的，本国生的
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
railroad,"n. 铁路, 铁路公司
vt. 铺设铁路, 用铁路运输
vi. 在铁路工作"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
database,"n. 数据库
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
banquet,n. 宴会
cancer,"n. 癌, 恶性肿瘤
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
gender,"n. 性
vt. 产生"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
lane,"n. 小路, 巷, 弄, 单行道"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
automobile,"n. 汽车
"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
deserving,"a. 该受的, 有功的, 值得...的
n. 功过, 赏罚"
education,"n. 教育, 训练, 教育学
"
enviable,"a. 令人羡慕的, 可羡慕的"
flywheel,"n. 飞轮, 惯性轮
"
goallessness,[网络] 无耻
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
importation,"n. 进口, 输入品
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
lottery,"n. 奖券, 彩票, 运气
"
Midwestern,[网络] 中西部
necessity,"n. 需要, 必需品, 必然
"
Olympiad,"n. (四年一次的)奥林匹克世界运动大会, 四年周期"
overwhelming,"a. 压倒性的, 无法抵抗的"
physics,"n. 物理学, 物理过程, 物理现象
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
puffed-out,"气喘吁吁的（puffed是puff的过去分词）
上气不接下气的（puffed是puff的过去分词）"
regrettably,"adv. 抱歉地, 遗憾地,可悲地"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
ritualistic,"a. 仪式的, 遵守仪式的"
searing,a. 灼热的
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
statistician,"n. 统计员, 统计学家
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
thornier,a. 多刺的( thorny的比较级 ); 有刺的; 棘手的; 多障碍的
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
unnatural,"a. 不自然的, 反常的, 不近人情的
"
visibility,"n. 可见性, 能见度, 能见距离
"
well-being,n. 健康; 幸福; 保持良好状态
candidate,"n. 候选人, 投考者
"
dawn,"n. 破晓, 黎明
vi. 破晓"
effort,"n. 努力, 成就"
faith,"n. 信心, 信任, 忠实, 保证
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
knowledge,"n. 知识, 学问, 认识, 知道"
necessary,a. 必要的；必然的；必需的
quirk,"n. 古怪举动, 俏皮话, 急转"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
unchangeable,"a. 不变的, 不能改变的"
abuzz,"a. 嗡嗡的, 嘈杂的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
egregious,"a. 异乎寻常的, 过分的, 惊人的"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
genealogy,"n. 系谱, 宗谱, 家系, 世系, 血统
"
judiciary,"a. 司法的, 法院的, 法官的
n. 司法部, 司法系统, 法官"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
satellite,"n. 人造卫星
"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
daze,"vt. 使茫然, 使发昏, 使眼花缭乱
n. 迷乱, 眼花缭乱"
eightfold,"a. 八倍的, 八层的
adv. 八倍地, 八层地"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
biomedical,a. 生物医学
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
satire,"n. 讽刺文学, 讽刺"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
unclear,"a. 不易了解的, 不清楚的, 含混的"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
barrier,"n. 障碍, 栅栏
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
fame,"n. 名望, 名声, 传说"
generate,"vt. 产生, 发生, 导致
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
indictment,"n. 起诉, 控告, 起诉状
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
technique,"n. 技巧, 技术, 方法
"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
await,"vt. 等候
vi. 等待着"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
buzzword,n. 流行词
cream,"n. 乳酪, 奶油, 面霜
"
distort,"vt. 扭曲, 歪曲
"
electronic,"a. 电子的
"
environmentalist,n. 环保人士
extremely,"adv. 极端地, 非常地"
foe,"n. 仇敌, 反对者, 敌人, 对手"
government,"n. 政府, 内阁
"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
improvement,"n. 进步, 改善, 利用
"
inquire,"v. 询问, 问明, 查究"
intrusiveness,n. 干涉性；侵扰性；侵入性
lawmaker,n. 立法者
migrate,"vi. 移动, 移往, 随季节而移居
"
Netherlands,n. 荷兰
onerous,"a. 繁重的, 负有法律责任的
"
overwhelmingly,"adv. 压倒性地, 不可抵抗地"
physique,"n. 体格, 体形
"
preside,"vi. 统辖, 当主人, 主持
"
punishment,"n. 处罚, 刑罚, 惩罚
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
reinterpretation," 重新解释, 纠正性说明"
ruby,"n. 红宝石, 深红色
a. 红宝石色的, 深红色的
vt. 使带红宝石色
"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
steadily,"adv. 稳定地, 无变化地, 有规则地"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
unplug,"vt. 拔开...的塞子, 拔去...的插头, 除掉...的障碍物"
vocabulary,"n. 词汇(量), 词汇表
"
whereas,"conj. 然而, 鉴于
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
cope,"vi. 竞争, 应付
n. 长袍"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
office,"n. 办公室, 部, 公职, 职责
"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
worth,"n. 价值, 财产
a. 值...的, 值得的"
baseline,"n. 基线, 基准
"
copyright,"n. 版权, 著作权
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
genre,"n. 类型, 流派"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
old-fashioned, 古典鸡尾酒
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
strive,"vi. 努力, 奋斗, 斗争"
uncool,"a. 没把握的, 无自信的, 粗野的, 土里土气的"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
corporation,"n. 公司, 合作, 法人团体
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
elegant,"a. 优雅的, 端庄的, 高雅的"
fantasy,"n. 幻想, 想象的产物
"
geography,"n. 地理学, 地理
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
omnivore,"n. 不偏食的人, 杂食动物"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
debt,"n. 债务, 罪过
"
element,"n. 元件, 元素, 要素
"
haste,"n. 匆忙, 急忙"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
ratio,"n. 比, 比率
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
stuffy,"a. 闷热的, 窒息的, 乏味的, 固步自封的, 自以为是的"
underfund,vt.对…提供资金不足
career,"n. 事业, 生涯, 成功
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
cottage,"n. 小屋, 茅舍"
decade,"n. 十年, 十"
far-off," 远, 在远处的"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
online,[计] 联机
rational,"a. 理性的, 合理的
n. 有理数"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
carrier,"n. 运送者, 邮递员, 带菌者
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
decent,"a. 有分寸的, 得体的, 大方的"
far-reaching,adj. 影响深远的; 有广泛影响的
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
subfield,[计] 子字段
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
amendment,"n. 修订, 改善, 改良, 改正
"
backdrop,"n. 背景幕, 背景"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
campus,"n. 校园, 大学生活"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
creation,"n. 创造, 创作物, 发明
"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
elicit,"vt. 引出, 推导出, 引起"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
falsehood,"n. 谎言, 虚假(性)
"
foresight,"n. 远见, 深谋远虑
"
government-defined,无
distinct,"a. 清楚的, 显著的, 不同的"
insecurity,"n. 不安全, 不安全感
"
lawsuit,"n. 诉讼
"
lucrative,"a. 有利益的, 获利的, 合算的"
milestone,"n. 里程碑, 里程石, 里程标"
newcomer,n. 新来者
onion,"n. 洋葱
vt. 因洋葱使掉泪"
packed,"a. 充满...的, 满座的, 挤得满满的, 压坚实的, 塞满了...的, 挤满了人的, 拥挤的
"
