identical,"a. 同一的, 恒等的, 完全相同的
"
fluency,"n. 流畅, 雄辩, 善辩"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
fluidity,"n. 流动性, 流质, 流状
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
flute,"n. 笛, 横笛, 凹槽
vi. 吹笛子
vt. 用长笛奏, 刻凹槽于"
flutist,"n. 横笛吹奏者, 笛手"
influenza,"n. 流行性感冒
"
flu,"n. 流感, 流行性感冒"
superfluous,"a. 多余的, 过剩的"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
influx,"n. 流入, 河口, 汇集
"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
floral,"a. 花似的, 花的, 植物的"
florid,"a. 华丽的, 红润的
"
florist,"n. 花匠, 花商, 花卉研究者"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
humane,"a. 有人情的, 人道的, 仁慈的"
humanity,"n. 人性, 人类, 博爱"
humanism,"n. 人本主义, 人文主义, 人道主义
"
humanist,"n. 人道主义者, 人文学者"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
inhumane,"a. 无人情味的, 薄情的, 残忍的"
inhumanity,"n. 不人道, 残暴
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
humiliating,"a. 丢脸的, 耻辱的, 羞愧的"
humility,"n. 谦逊, 谦虚, 谦卑"
humus,"n. 腐殖质
"
posthumous,"a. 遗腹的, 死后的
"
homicide,"n. 杀人, 杀人者
"
homage,"n. 尊崇, 尊敬, 效忠"
lurch,"n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
vi. 惨败, 倾斜, 徘徊
vt. 击败"
nicotine,"n. 烟碱, 尼古丁
"
poplar,"n. 杨树, 杨木
"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
sheath,"n. 鞘, 叶鞘, 翅鞘
"
squall,"n. 飑, 喊叫
vi. 起飑, 嚎啕, 叫嚷
vt. 尖叫"
tawdry,"a. 廉价而俗丽的
n. 廉价而俗丽之物"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
apoplexy,"n. 中风
"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
coronation,n. 加冕礼
divulge,"vt. 泄露, 透露"
haunch,"n. 腰腿, 臀部, 腰腿肉
"
lunge,"n. 刺, 刺进, 跃进, 套马索
v. 突进, 刺"
niche,"n. 壁龛
vt. 放入壁龛, 安顿"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
rift,"n. 裂口, 空隙
vi. 裂开
vt. 使分开, 使割开"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
squalid,"a. 污秽的, 肮脏的, 悲惨的, 可怜的, 卑劣的"
taut,"a. 拉紧的, 整洁的, 紧张的"
verdure,"n. 翠绿, 新绿, 碧绿, 精力旺盛, 新鲜"
apex,"n. 顶, 尖端, 最高潮
"
brooch,"n. 胸针, 领针"
corollary,"n. 必然的结果, 系, 推论"
dither,"n. 发抖, 兴奋
vi. 发抖"
feckless,"a. 无效的, 无能的, 不负责任的"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
hatchet,"n. 斧头, 手斧, 战斧
"
lug,"v. 拖, 拉
n. 一拖, 一拉, 耳朵, 耳状物, 装腔作势, 勒索"
nib,"n. 嘴, 笔尖
vt. 装尖头, 削尖, 修换(笔)尖"
nip,"n. 捏, 夹, 寒冷, 尖刻话
vt. 捏, 夹, 钳, 剪断, 损伤, 冻伤, 一小口
vi. 夹, 捏, 刺骨, 快走, 一小口一小口地抿(酒)
"
nipple,"n. 乳头, 奶头, 奶嘴
"
nibble,"n. 少量食物, 细咬, 轻咬, 啃
v. 一点一点地咬, 细咬, 吹毛求疵
"
ribald,"a. 说话猥亵的, 下流的, 粗俗的
n. 说下流话的人"
sheaf,"n. 束, 捆, 扎
vt. 捆, 束"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
veranda,"n. 阳台, 走廊"
aperture,"n. 孔, 缝隙, 孔径
"
broccoli,n. 花椰菜
cornet,"n. 圆锥形纸袋, 短号
"
faze,"vt. 打扰, 折磨, 使狼狈"
furl,"vt. 卷收, 叠, 收拢
vi. 卷起, 收拢
n. 卷收, 卷起, 卷起的方式"
inculcate,"vt. 反复灌输, 谆谆教诲"
pollen,"n. 花粉
vt. 传授花粉给"
rhinoceros,n. 犀牛
shawl,"n. 披肩, 围巾
vt. 用披肩裹"
squabble,"vi. 争吵, 口角
n. 争吵, 口角"
ventral,"a. 腹的, 腹部的, 腹面的
n. 腹鳍"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
coop,"n. 狭小空间, 鸡笼, 捕鱼篓
vt. 关进鸡舍, 监禁"
dissipated,"a. 沉迷于酒色的, 闲游浪荡的, 消失的"
fawn,"n. 小鹿
vi. 摇尾乞怜, 奉承"
fawn,"n. 小鹿
vi. 摇尾乞怜, 奉承"
funnel,"n. 漏斗, 漏斗状的东西, 烟囱
"
hassle,"n. 激烈而持久的争论
vi. 争论
vt. 与...争辩, 使烦恼"
incipient,"a. 起初的, 发端的, 初期的
"
neon,"n. 氖
"
polemic,"a. 争辩的, 好争论的
n. 争论, 辩论, 辩论者"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
feeble-minded,低能的
mastermind,"n. 优秀策划者, 才子
vt. 指导, 主持, 策划"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commentary,"n. 注释, 评论, 说明
"
commentate,"vt. 注释, 解说
vi. 评论时事"
commentator,"n. 评论员, 实况广播员, 注释者, 时事评论员"
demented,"a. 发狂的, 精神错乱的
"
vehement,"a. 热烈的, 激烈的"
mandarin,"n. 中国官话, 国语, 满清官吏, 柑橘
a. (中国式)紧身马褂的"
hotel,"n. 旅馆, 客栈"
hotelier,n. 旅馆老板
motel,n. 汽车旅馆
hostel,"n. 青年招待所, 宿舍, 旅店"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
hostess,"n. 女主人, 女房东, 女老板"
hostage,"n. 人质, 抵押品
"
hospital,"n. 医院
"
hospice,"n. 旅客住宿处, 收容所"
hospitalize,"vt. 送...进医院治疗
"
hospitality,"n. 款待, 亲切, 殷勤"
hospitable,"a. 好客的, 招待周到的"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
complacency,"n. 满足, 自鸣得意, 自满"
complacent,"a. 满足的, 自满的, 得意的"
implacable,"a. 不能安抚的, 难和解的, 不变的"
remain,"vi. 保持, 逗留, 剩余
"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
mansion,"n. 大厦, 宅邸"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
keynote,"n. 主调音, 基音, 基调
vt. 说明基本政策, 定基调"
notary,"n. 公证人
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
noteworthy,"a. 值得注目的, 显著的"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
noted,"a. 著名的, 显著的, 扬名的"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
notoriety,"n. 恶名, 臭名, 声名狼藉"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
notify,"vt. 通知, 通告, 报告
"
notification,"n. 通知, 通告, 告示
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
connote,"vt. 含蓄着, 内涵着, 意味着"
connotation,"n. 含蓄, 内涵"
denote,"vt. 指示, 表示"
notation,"n. 记号, 符号表示法, 注释
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
slither,"vi. 不稳地滑动
vt. 使滑动"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
glider,"n. 滑翔员, 滑翔机"
skid,"vt. 刹住, 滚滑
vi. 打滑
n. 刹车, 滑动垫木"
gene,"n. 基因
"
gender,"n. 性
vt. 产生"
engender,"vt. 产生, 引起
vi. 发生, 形成"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
genius,"n. 天才, 天赋, 精神, 神魔
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
genial,"a. 和蔼的, 亲切的, 友善的
"
generic,"a. 属类的, 一般的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
genocide,"n. 种族灭绝, 灭绝整个种族的大屠杀
"
genre,"n. 类型, 流派"
homogeneous,"a. 同种的, 同质的, 齐性的
"
homogeneity,"n. 同种, 同质, 齐性
"
homogenize,"vi. 变均匀
vt. 使均匀"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
generate,"vt. 产生, 发生, 导致
"
generation,"n. 一代, 一世, 产生
"
generative,"a. 生殖的, 生产的, 有生殖力的
"
generator,"n. 产生器, 发电机, 生产者
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
regeneration,"n. 再生, 重建
"
regenerative,"a. 再生的, 更生的, 更新的
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
generosity,"n. 慷慨, 宽大"
hydrogen,"n. 氢
"
nitrogen,"n. 氮
"
oxygen,"n. 氧
"
genesis,"n. 发生, 起源, 创世记
"
indigenous,"a. 本土的, 国产的, 固有的
"
ingenuous,"a. 坦白的, 正直的, 天真的"
congenital,"a. 天生的, 先天的
"
benign,"a. 善良的, 良性的
"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
malignant,"a. 有恶意的, 恶性的, 有害的
"
malignancy,"n. 恶意, 邪恶, 恶性肿瘤
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
impregnate,"vt. 使怀孕, 使肥沃, 使充满, 灌输
a. 怀孕的, 充满的"
impregnable,"a. 无法攻取的, 坚强不屈的, 驳不倒的"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
doctorate,n. 博士头衔
docile,"a. 容易教的, 温顺的"
doctrine,"n. 教条, 学说
"
indoctrinate,"vt. 教训, 教导, 灌输"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
documentary,"n. 记录片
a. 文件的"
didactic,"a. 教训的, 说教的, 教导的, 教诲的
"
dogma,n. 教条
dogmatic,"a. 教条的, 武断的"
heterodox,"a. 非正统的, 异端的"
orthodox,"a. 正统的, 传统的, 惯常的"
orthodoxy,"n. 正统说法, 正教, 信奉正教"
unorthodox,"a. 非正统的, 异教的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
alter,v. 改变
alteration,"n. 变更, 改动
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
alias,"n. 别名, 化名
adv. 以化名为人所知
"
alibi,"n. 不在犯罪现场, 托辞
v. 为...辩解"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
alienate,"vt. 使疏远, 离间, 转让
"
adulterate,"vt. 掺杂
a. 掺假的, 假的, 通奸的"
adultery,"n. 通奸
"
ulterior,"a. 隐秘不明的, 在特定界限以外的, 将来的, 隐蔽的
"
shanghai,"n. 上海, 浦东鸡
a. 上海的, 上海时行的, 上海风格的
vt. 拐骗, 胁迫"
spurious,"a. 假造的, 伪造的, 欺骗的
"
venison,"n. 鹿肉, 野味"
antics,"n. 滑稽动作, 古怪姿态"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
convulse,"vt. 使震动, 使震撼, 使抽搐"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
fauna,"n. 动物群
"
funky,"a. 畏缩的, 怯懦的, 恶臭的"
hash,"n. 剁碎的食物, 杂乱无章的的一大堆, 杂烩, 复述
vt. 切碎, 搞糟"
incinerate,"vi. 烧成灰, 灰化
vt. 焚化"
nebulous,"a. 星云的, 星云状的, 朦胧的"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
shamble,"vi. 蹒跚地走, 摇摇晃晃地走, 摇晃不稳
n. 蹒跚"
sprint,"n. 短距离赛跑
vi. 全速跑, 冲刺
vt. 全速跑过"
tatters,"n. 破旧衣服, 破衣服, 破布条, 碎纸片"
venereal,"a. 性爱的, 性交的, 性病的, 生殖器的
"
anthem,"n. 圣歌, 赞美诗"
brigade,"n. 旅, 队
"
contrive,"v. 发明, 设计, 图谋"
disciple,"n. 弟子, 门徒"
fatuous,"a. 发呆的, 愚笨的"
funk,"n. 怯懦, 恐惧, 臭味
vt. 畏缩, 害怕, 使闻到臭味
vi. 惊恐, 发出臭味"
funk,"n. 怯懦, 恐惧, 臭味
vt. 畏缩, 害怕, 使闻到臭味
vi. 惊恐, 发出臭味"
harry,"vt. 掠夺, 使苦恼, 强使前行, 折磨, 骚扰"
incest,"n. 近亲相奸, 乱伦
"
lotus,"n. 莲, 莲花, 荷花, 荷
"
navel,"n. 脐, 肚脐, 中央, 中心
"
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
revulsion,"n. 剧变, 厌恶, 强烈反感
"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
sprain,"vt. 挫伤, 扭筋, 错筋
n. 扭伤, 扭筋"
tartly,"adv. 辛辣地, 刻薄地"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
antelope,n. 羚羊
bridle,"n. 马勒, 约束
"
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
funicular,"a. 索状的
n. 索道"
harpoon,"n. 鱼叉
vt. 用鱼叉叉, 用鱼叉捕获"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
lop,"vt. 剪, 砍伐, 斩
vi. 下垂, 闲荡
a. 垂下的
n. 砍伐, 剪下的树枝"
nausea,"n. 反胃, 晕船, 恶心, 厌恶
"
reverie,"n. 梦想, 沉思, 幻想曲
"
shack,"n. 陋屋, 棚屋
vi. 居住, 暂住"
spout,"n. 喷口, 从喷口流出的水, 水落管, 水龙卷
vt. 喷出, 喷射, 滔滔不绝说出, 典押
vi. 喷射, 高谈阔论"
tartan,"n. 格子呢, 方格花纹, 单桅小帆船
a. 格子呢的"
veer,"vi. 转向
vt. 使转向
n. 转向"
anomaly,"n. 不规则, 反常事物, 畸形
"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
coniferous,"a. 松柏目的, 结球果的"
diphthong,"n. 二合元音, 复合元音, 元音连字
"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
fungus,"n. 真菌, 真菌类植物
"
impound,"vt. 关在栏中, 拘留, 充公
"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
plutonium,"n. 钚
"
revamp,"vt. 换新鞋面, 修理, 修补, 修改
"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
spore,"n. 孢子
vi. 长孢子"
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
veal,"n. 小牛肉
vt. 宰小牛"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
marking,"n. 印记, 印, 分
"
marked,"a. 有记号的, 显著的, 醒目的
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
benchmark,[计] 基准程序; 基准
earmark,"n. 耳上记号, 特征, 记号, 标记
vt. 在耳朵上做记号, 标记, 指定...作特定用途"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
pockmark,"n. 痘疮, 麻子
"
watermark,"n. 水位标志, 水印
vt. 印水印于"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
commemorate,vt. 纪念
memoir,"n. 传记, 实录, 追思录, 回忆录, 自传
"
memorable,"a. 值得纪念的, 难忘的"
memorandum,"n. 备忘录, 外交备忘录, 交易备忘录
"
memo,"n. 备忘录
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
memorize,"vt. 记住, 熟记, 背熟"
memento,"n. 纪念物, 令人回忆的东西"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
remembrance,"n. 回想, 记忆, 纪念品, 记忆力, 问候, 致意"
pair,"n. 一双, 一对, 一副
v. (使)成对"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
repairable,"a. 可修理的, 可赔偿的, 可挽回的
"
irreparable,"a. 不能修补的, 不能挽回的
"
reparation,"n. 补偿, 赔偿, 弥补, 修复, 修理
"
impair,"vt. 损害, 减少, 削弱
"
par,"n. 标准, 票面价值, 平均数量, 同等水平
a. 票面的, 平常的, 标准的, 平价的
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
comparison,"n. 比较, 对照, 比喻
"
comparable,"a. 可比较的, 比得上的"
incomparable,"a. 无比的, 不能比较的"
comparative,"a. 比较的, 相对的
n. 对手"
comparatively,"adv. 比较地, 相对地"
parity,"n. 同等, 同位, 平价, 奇偶性
"
disparity,"n. 不一致
"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
oversight,"n. 勘漏, 失察, 失败, 照料
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overwhelming,"a. 压倒性的, 无法抵抗的"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
insider,"n. 内部的人, 权威人士, 知道内情的人
"
lopsided,"a. 倾向一方的, 不平衡的"
underside,"n. 下面, 下侧, 底面"
upside,"n. 上侧, 上段, 上部
"
sidelight,"n. 侧线, 侧灯, 舷灯, 杂闻"
sidewalk,n. 人行道
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
sidle,"v. 横着走, 悄悄贴近, 侧身而行
n. 侧走, 挨近"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
quadrilateral,"a. 四边形的
"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
contestant,"n. 竞争者
"
detest,"vt. 厌恶, 憎恨"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
Protestant,"n. 新教徒
a. 新教的, 新教徒的"
testament,"n. 遗嘱, <<圣约书>>
"
testator,n. 立遗嘱者
testify,"v. 证明, 作证, 声明, 表明"
testimony,"n. 证言, 证据, 声明
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
regularity,"n. 规则性, 匀整, 正规, 经常
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
deregulate,[法] 解除管制
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
overrule,"vt. 统治, 威压, 打败, 驳回
"
ruling,"n. 判决, 裁定, 统治
a. 统治的, 支配的, 普遍的"
unruly,"a. 难控制的, 无法无天的, 任性的"
regal,"a. 帝王的, 适于帝王的"
regency,"n. 摄政统治, 摄政权, 摄政统治区
"
regent,"n. 摄政者, 摄政王
a. 摄政的"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
realm,"n. 王国, 领土, 领域
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
royalist,"n. 保皇党员, 顽固分子
a. 保皇党的"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
sovereignty,"n. 主权, 独立国
"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
assert,"vt. 主张, 坚称, 断言
"
assertion,"n. 断言, 主张
"
assertive,"a. 武断的, 过分自信的
"
dissertation,n. 论文
exert,"vt. 发挥, 运用, 施以影响
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
full-blown,完全成熟的；充分发展的
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
insist,"v. 坚持, 坚决主张, 强调"
insistent,"a. 坚持的, 迫切的"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
irresistible,"a. 不可抵抗的, 不能压制的
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
resistor,"n. 电阻器
"
transistor,"n. 晶体管
"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
subsistence,"n. 生存, 生活
"
anode,"n. 阳极
"
diode,"n. 二极管
"
brash,"a. 性急的, 仓促的, 无礼的, 傲慢的
n. 胃灼热, 骤雨, 碎石堆"
confetti,"n. 糖果, 五彩纸屑"
farce,"n. 闹剧, 滑稽剧, 胡闹"
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
implore,"vt. 恳求, 哀求"
nasty,"a. 污秽的, 下流的, 险恶的"
plush,"n. 长毛绒, 长毛绒裤
a. 长毛绒制的, 豪华的"
retina,"n. 视网膜
"
serum,"n. 浆液, 血清, 乳清
"
