fourteenth,"num. 第十四, 十四分之一"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
rose,"n. 玫瑰, 蔷薇, 玫瑰色
a. 玫瑰色的, 玫瑰花的
vt. 使成玫瑰色
rise的过去式"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
ago,adv. 以前
eleven,"num. 十一, 十一个"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
away,adv. 离去
biology,"n. 生物学
"
airport,"n. 飞机场
"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
similar,"a. 相似的, 类似的
n. 相似的东西"
cruel,"a. 残酷的, 令人极痛苦的
"
bee,"n. 蜜蜂, 聚会"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
excite,"vt. 刺激, 使兴奋, 激励"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
able,"a. 能干的, 能够的"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
pork,"n. 猪肉
"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
fourth,"num. 第四, 四分之一"
panda,"n. 大熊猫, 小熊猫"
me,pron. 我
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
casually,"adv. 偶然地, 临时地, 随便地"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
goat,"n. 山羊, 替罪羊, 色鬼"
handbag,n. 手提包
professional,"n. 专业人才
a. 专业的, 职业的"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
boy,"n. 男孩
"
flu,"n. 流感, 流行性感冒"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
against,"prep. 反对, 对着, 倚靠"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
clever,"a. 聪明的, 精明的"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
borrow,"vt. 借, 借入, 借用
vi. 借
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
disturb,"vt. 扰乱, 妨碍, 使不安
"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
whose,pron. 谁的
sausage,"n. 香肠, 腊肠"
future,"n. 未来, 将来
a. 将来的, 未来的"
could,"aux. 可以, 能"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
chicken,"n. 小鸡, 鸡肉"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
fifty,"num. 五十, 五十个"
honest,"a. 诚实的, 坦直的, 可靠的"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
adverb,n. 副词
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
she,pron. 她
con,"vt. 精读, 仔细研究, 默记
adv. 反面地, 从反面
a. 欺诈的
n. 反对者, 反对票, 肺结核
"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
cute,"a. 可爱的, 聪明的, 伶俐的
"
China,"n. 中国, 瓷器
a. 中国的"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
educate,"vt. 教育, 培养, 训练"
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
for,"prep. 为, 因为, 至于
conj. 因为
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
lady,"n. 淑女, 夫人, 女士, 贵妇"
June,n. 六月
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
language,"n. 语言, 文字, 措辞
"
frog,"n. 青蛙
"
talent,"n. 天才, 才能, 有才干的人, 天资"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
yeah,"adv. (非正式)是, 是的"
hotel,"n. 旅馆, 客栈"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
door,n. 门
cent,"n. 分
"
tea,"n. 茶, 茶叶
"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
northern,"n. 北方人
a. 北方的, 向北的, 自北方来的"
everything,"pron. 每件事物, 所有事物"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
temperature,"n. 温度, 发烧, 热度
"
day,"n. 天, 日子, 白天, 工作日
"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
candle,"n. 蜡烛
vt. 对着光检查"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
explain,"v. 解释, 说明"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
famous,"a. 出名的, 极好的"
sixth,"num. 第六, 六分之一"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
yes,"adv. 是
n. 是, 同意
v. 同意"
possibly,"adv. 可能, 也许"
few,"a. 很少的, 不多的, 少数的
n. 少数"
itself,"pron. 它本身, 它自己"
turtle,n. 海龟
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
year,"n. 年, 年度, 年龄
"
truth,"n. 事实, 实情
"
prefer,"vt. 宁可, 较喜欢, 提出
"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
trash,"n. 垃圾, 废物
vt. 丢弃"
lighting,"n. 照明, 照明设备, 舞台灯光"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
yourselves,pron. 你们自己
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
from,"prep. 从, 来自, 根据"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
angry,"a. 生气的, 愤怒的"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
outdoor,"a. 户外的, 屋外的, 露天的"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
Asia,n. 亚洲
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
department,"n. 部门, 系, 机关
"
fridge,n. 电冰箱
chat,"n. 闲谈
vi. 闲谈, 聊天"
rubbish,"n. 废物, 垃圾, 胡说"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
postcard,n. 明信片
Wednesday,n. 星期三
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
manner,"n. 样子, 礼貌, 风格
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
success,"n. 成功, 成就, 胜利"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
clothing,n. 衣服
fifth,"num. 第五, 五分之一"
popcorn,n. 爆米花
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
college,"n. 学院, 大学, 学会"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
kiss,"n. 吻
vt. 吻
vi. 接吻"
upon,"prep. 在...之上, 迫近, 紧接着"
week,"n. 星期, 周"
America,"n. 美洲, 美国"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
than,"conj. 比, 除...外
prep. 比"
OK,[网络] 确定；好；击
yourself,pron. 你自己
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
instruction,"n. 指令, 教导, 命令
"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
airline,"n. 航线, 航线的设备, 航空公司"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
learn,vt. 学习；认识到；得知
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
hey,interj. 嗨
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
suitcase,n. 手提箱
worldwide,a. 全世界的
celebrate,"v. 庆祝, 祝贺, 举行"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
movie,n. 电影
spider,"n. 蜘蛛, 设圈套者
"
goodbye,interj. 再见
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
mall,n. 林荫路
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
poem,"n. 诗, 诗般美的事物"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
percent,"n. 百分比, 百分数, 部分
"
tasty,"a. 好吃的, 可口的"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
Thursday,n. 星期四
road,"n. 路, 道路, 公路, 途径, 方法
"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
any,"a. 任何的
pron. 任何"
football,"n. 足球, 橄榄球"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
bad,"a. 坏的
n. 坏
adv. 坏地"
unhealthy,a. 不健康的
holiday,"n. 假日, 假期, 节日
vi. 度假"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
create,"vt. 创造, 建造, 引起, 任命"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
exam,"n. 考试, 测验"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
donate,v. 捐赠
too,"adv. 也, 非常, 太"
him,pron. 他
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
autumn,"n. 秋天, 成熟期"
yellow,"n. 黄色
a. 黄色的"
these,pron. 这些
advertisement,"n. 广告, 启事, 广告宣传
"
whom,pron. 谁
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
coal,"n. 煤, 木炭
v. 加煤"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
them,"pron. 他们, 她们, 它们"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
subway,"n. 地铁, 地道
vi. 乘地铁"
pro,"adv. 正面地
"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
calendar,"n. 日历, 日程表
vt. 列入表中
"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
earthquake,n. 地震
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
seventeen,"num. 十七, 十七个"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
government,"n. 政府, 内阁
"
haircut,"n. 理发, (男子的)发式"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
dear,"n. 亲爱的人
a. 亲爱的, 昂贵的, 严重的, 急迫的
interj. 啊
adv. 深爱地, 高价地"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
city,"n. 城市, 市
"
stupid,"a. 愚蠢的, 麻木的"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
almost,"adv. 几乎, 差不多"
seventh,"num. 第七, 七分之一"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
microwave,"n. 微波
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
oak,"n. 橡树, 橡木
a. 橡木制的"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
yogurt,"n. 酸乳酪
"
yoghurt,"n. 酸乳, 酸奶"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
dangerous,"a. 危险的
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
coffee,"n. 咖啡, 咖啡色
"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
transportation,"n. 运输, 输送, 交通车辆
"
