feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
restaurant,"n. 餐馆, 饭店"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
below,"prep. 在下面
adv. 在下面"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
painting,"n. 画, 绘画, 油漆
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
diary,"n. 日记
"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
dolphin,n. 海豚
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
create,"vt. 创造, 建造, 引起, 任命"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
learn,vt. 学习；认识到；得知
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
description,"n. 描述, 说明, 种类
"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
parking,"n. 停车
a. 停车的"
kilometre,"n. 公里, 千米"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
brochure,"n. 小册子, 小册"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
baker,"n. 面包师
"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
congratulation,"n. 祝贺, 恭喜"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
fragile,"a. 易碎的, 脆的
"
quietly,"adv. 安静地, 沉着地, 秘密地"
download,"[计] 卸载, 下栽"
greeting,"n. 祝贺, 问候"
victim,"n. 受害人, 牺牲者, 牺牲品
"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
coral,"n. 珊瑚, 珊瑚色
"
development,"n. 发展
"
available,"a. 可利用的, 可获得的, 有效的
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
probably,"adv. 大概, 或许"
detective,"n. 侦探
a. 侦探的"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
cupboard,"n. 食橱, 碗柜, 餐具柜"
necklace,n. 项链
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
manager,"n. 经理, 管理员, 管理器
"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
workplace,"n. 工作场所, 工厂, 车间"
notebook,"n. 笔记本, 手册, 期票簿"
unlucky,"a. 不吉利的, 不祥的, 不幸的"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
intention,"n. 意图, 目的, 含义
"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
chemistry,"n. 化学, 化学过程
"
generosity,"n. 慷慨, 宽大"
keyboard,"n. 键盘
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
illness,"n. 疾病, 恶意
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
universe,"n. 宇宙, 星系, (思想等)范围"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
pond,"n. 池塘
v. 筑成池塘"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
victory,"n. 胜利, 战胜, 克服"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
examine,"v. 检查, 调查, 考试"
society,n. 社会；社交界；交往；社团
billion,"num. 十亿, 十亿个"
stocking,"n. 长袜
"
penny,"n. 便士, 一分, 小钱, 点滴
"
flu,"n. 流感, 流行性感冒"
wallet,"n. 皮夹
"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
silly,"a. 愚蠢的, 糊涂的"
avoid,"vt. 避免, 防止, 撤消
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
symbol,"n. 符号, 象征, 代号, 信条
"
owner,"n. 拥有者, 物主, 所有人
"
dentist,"n. 牙科医生
"
robber,"n. 强盗, 盗贼"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
road,"n. 路, 道路, 公路, 途径, 方法
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
secondhand,"a. 间接获得的, 旧的, 二手的, 做旧货买卖的
adv. 间接地, 间接听来, 以旧货"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
duty,"n. 责任, 关税, 职务, 尊敬
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
decorate,v. 装饰
deer,n. 鹿
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
pollute,"vt. 污染, 弄脏, 玷污
"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
chess,"n. 国际象棋
"
necessary,a. 必要的；必然的；必需的
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
artist,"n. 艺术家, 画家"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
gatekeeper,n. 看门人
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
scenery,"n. 风景, 景色, 舞台布景"
candle,"n. 蜡烛
vt. 对着光检查"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
biology,"n. 生物学
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
pronounce,"v. 发音, 宣告, 断言"
motorbike,"n. 机动脚踏两用车, 摩托车"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
badly,"adv. 严重地, 恶劣地, 极度地"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
toothpaste,"n. 牙膏
"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
guest,"n. 客人, 来宾, 旅客
"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
dangerous,"a. 危险的
"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
chocolate,"n. 巧克力
a. 巧克力制的"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
height,"n. 高度, 海拔, 高地, 顶点
"
prefer,"vt. 宁可, 较喜欢, 提出
"
weekday,"n. 周日, 平日
"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
cream,"n. 乳酪, 奶油, 面霜
"
poem,"n. 诗, 诗般美的事物"
hobby,"n. 嗜好, 癖好, 爱好"
introduce,"vt. 介绍, 引入, 采用, 输入
"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
composition,"n. 作文, 创作, 组成
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
agreement,"n. 同意, 合约, 协议
"
toothache,"n. 牙痛
"
fireplace,n. 壁炉
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
bleat,"n. 羊的叫声
vi. 咩咩叫
vt. 以颤抖的声音说"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
visitor,"n. 参观者, 游客, 访客
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
wherever,adv. 无论哪里
bee,"n. 蜜蜂, 聚会"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
pork,"n. 猪肉
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
since,"prep. 自...以后, 自...以来
adv. 自那时以后
conj. 既然, 自...以后, 自...以来"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
passport,"n. 护照, 手段, 通行证
"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
cheese,"n. 乳酪
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
borrow,"vt. 借, 借入, 借用
vi. 借
"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
used,"a. 使用过的, 二手的, 习惯的"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
geography,"n. 地理学, 地理
"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
shelf,"n. 架子, 搁板
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
heaven,"n. 天堂, 上帝, 天空"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
explore,"v. 探险, 探测, 探究"
lab,"n. 实验室, 研究室
"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
clever,"a. 聪明的, 精明的"
hotdog,v. 卖弄
rubbish,"n. 废物, 垃圾, 胡说"
tent,"n. 帐篷, 帷幕, 住处, 塞条, 塞子
vi. 住帐蓬, 宿营, 暂时居住
vt. 用帐篷遮盖, 使住帐篷, 用塞条嵌入"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
friendship,"n. 友谊, 友爱, 友善"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
along,"adv. 平行地, 向前
prep. 沿着"
chimney,"n. 烟囱, 灯罩
"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
glove,"n. 手套
vt. 给...戴手套"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
often,"adv. 时常, 常常"
camel,"n. 骆驼, 打捞浮筒"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
chalk,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
require,"vt. 需要, 命令, 要求
"
woollen,"n. 毛织品
a. 羊毛制的"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
begin,"v. 开始
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
dish,"n. 盘子, 碟, 菜肴
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
grammar,"n. 语法学, 入门书
"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
explain,"v. 解释, 说明"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
fax,"n. 传真
vt. 发传真
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
activity,"n. 活动, 行动, 活跃, 活力
"
