arroyo,"n. 干涸沟壑, 旱谷, 小河"
yearn,"vi. 渴望, 想念, 怀念, 同情"
reluctance,"n. 不情愿, 勉强
"
candor,"n. 坦白, 直率"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
committed,"a. 献身于某种事业的
"
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
dedication,"n. 奉献, 献身, 献辞
"
fealty,"n. 忠诚, 忠贞, 忠实"
guileless,"a. 不狡猾的, 诚实的"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
dependable,"a. 可信任的, 可靠的, 可信赖的"
piety,"n. 虔诚, 孝敬, 虔诚的行为"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
allay,"vt. 使平静, 使缓和"
aplomb,"n. 沉着, 泰然自若, 垂直"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
bland,"a. 温和的, 乏味的, 冷漠的
"
composed,"a. 镇静的, 沉着的"
composure,"n. 镇静, 沉着"
deadpan,n. 无表情的脸
dispassionate,"a. 冷静的, 不带感情的"
imperturbable,"a. 沉着的, 泰然自若的, 镇静的"
impolitic,"a. 失策的, 不得当的"
leisureliness,"n. 悠然, 从容"
levelheaded,"a. 稳健的, 头脑冷静的；明智的"
methodical,"a. 有方法的, 有系统的"
nonchalance,"n. 不关心, 冷淡, 无动于衷"
phlegmatic,"a. 粘液质的, (正式)平静的, 不动情的, 不动感情的, 冷漠的, 冷淡的, 迟钝的
"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
rational,"a. 理性的, 合理的
n. 有理数"
sane,"a. 神智健全的, 稳健的, 没病的, 合理的
"
sangfroid,"n. 冷静, 泰然, 沉着"
sanity,"n. 神智健全, 头脑清楚, 通情达理
"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
staid,"a. 认真的, 沉着的, 固定的"
unflappable,"a. 不慌张的, 镇定的"
unmoved,"a. 没有动过的, 不动摇的, 坚决的, 冷静的"
acumen,"n. 敏锐, 聪明"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
alacrity,"n. 敏捷, 轻快, 乐意"
ambidextrous,"a. 两手俱利的, 搞两面派的
"
astute,"a. 敏锐的, 狡猾的"
calculating,"a. 计算的, (贬)专为自己打算的, 深谋远虑的
"
canny,"a. 精明的, 谨慎的, 节约的"
conversant,"a. 熟悉的, 亲近的, 有交情的"
deft,"a. 敏捷熟练的, 灵巧的"
dexterity,"n. 灵巧, 机敏"
dexterous,"a. 灵巧的, 惯用右手的"
expeditious,"a. 迅速的, 敏捷的"
hardheaded,"a. 不易激动的, 冷静的, 脚踏实地的, 无懈可击的"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
intellect,"n. 智力, 出众的才华, 知识分子
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
judiciousness,n. 明智
nimble,"a. 敏捷的, 伶俐的, 聪明的"
outfox,vt. 以计取胜
outwit,"vt. 瞒骗, 以智取胜"
perspicuity,"n. 明晰, 明了, 简明, 表达清楚, 易懂"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
provident,"a. 有先见之明的, 有远虑的, 节俭的"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
sagacity,"n. 睿智, 聪敏"
sapient,"a. 装聪明样的, 聪明的, 伶俐的, 有见识的"
scintillate,"v. 发出火花, 闪耀光芒"
sensible,"a. 有感觉的, 敏感的, 明智的
"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
sleight,"n. 技巧, 诡计, 熟练"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
tact,"n. 机智, 手法, 老练
"
virtuosity,"n. 精湛技巧, 对古董等的爱好"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
applicable,"a. 合适的, 可应用的
"
efficacious,"a. 有效的, 灵验的"
efficacy,"n. 功效, 效力
"
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
effectual,"a. 有效果的, 会应验的, 有法律效力的"
impotent,"a. 无力的, 虚弱的, 无效的, 阳萎的"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
affability,"n. 和蔼, 谦恭有礼, 亲切"
amiable,"a. 亲切的, 和蔼可亲的
"
amicable,"a. 友善的, 友好的
"
amity,"n. 友好, 亲善关系"
benevolent,"a. 善意的, 慈善的"
benign,"a. 善良的, 良性的
"
bonhomie,"n. 愉快, 温和, 和蔼"
catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
clemency,"n. 仁慈, 宽厚, 仁厚"
clement,"a. 仁慈的, 宽厚的, 温和的"
compatible,"a. 能共处的, 可并立的, 适合的
"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
equable,"a. 平静的, 变动小的"
even-tempered,a. 性情平和的
familiarity,"n. 熟悉, 精通, 亲密"
fraternal,"a. 兄弟的, 兄弟似的, 友爱的"
gentle,"a. 温和的, 文雅的"
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
gracious,"a. 亲切的, 慈善的"
humane,"a. 有人情的, 人道的, 仁慈的"
leniency,"n. 宽大, 温和, 慈悲为怀
"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
prepossessing,a. 给人好感的
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
subdued,"a. 屈服的, 被抑制的, 减弱的, 柔和的"
beneficent,"a. 仁慈的, 慈善的, 善行的"
geniality,"n. 温和, 舒适, 亲切"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
animation,"n. 活泼, 生气, 激励, 卡通制作
"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
enliven,"vt. 使活泼, 使生动"
expansive,"a. 扩张性的, 使扩大的, 广阔的
"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
perky,"a. 得意洋洋的, 快活的, 敏捷的, 美观的, 傲慢的, 神气的"
puckish,"a. 顽皮的, 恶作剧的"
racy,"a. 保持原味的, 活泼的, 生动的, 为竞赛设计的"
vibrancy,"n. 振动, 振响, 活力"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
spry,"a. 精神好的, 活泼的, 敏捷的"
lighthearted,"a. 快乐的, 心情愉快的；无忧无虑的"
hardbitten,"a. 顽强的, 坚韧的"
intrepid,"a. 无畏的, 勇猛的"
inviolable,"a. 不可亵渎的, 不可侵犯的, 神圣的
"
invulnerable,"a. 不会受伤害的, 刀枪不入的, 无懈可击的, 无可反驳的"
stouthearted,"a. 刚毅的, 大胆的"
volition,"n. 行使意志, 意志力, 决定"
abstemious,"a. 有节制的, 节约的"
austere,"a. 严峻的, 禁欲的, 简朴的"
austerity,"n. 朴素, 苦行, 严格, 严峻"
chaste,"a. 贞洁的, 纯洁的, 朴素的"
frugal,"a. 节俭的, 朴素的"
homely,"a. 家常的, 平凡的, 朴实无华的"
ingenuous,"a. 坦白的, 正直的, 天真的"
naive,"a. 天真的, 纯真的, 幼稚的"
naivety,n. 无邪的行为；天真烂漫（等于naivete）
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
retrench,"vt. 紧缩, 减少, 删除
vi. 削减费用"
skimp,"vt. 少给, 克扣
vi. 吝啬
a. 少的, 不足的"
sparing,"a. 节约的, 节制的, 吝啬的, 爱惜的, 吝惜的, 节省的, 贫乏的, 少量的"
spartan,"a. 斯巴达的, 斯巴达式的, 刚强的, 勇敢的, 好战的, 严峻的, 简朴的, 艰苦的
n. 斯巴达人, 勇士, 坚韧不拔的人"
stint,"vt. 节省, 限制, 停止
vi. 节约
n. 吝惜, 节约, 限额"
thrifty,"a. 节俭的, 兴旺的, 繁茂的"
economy,"n. 经济, 理财, 节约
"
frugality,"n. 节俭, 俭省"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
assiduous,"a. 勤勉的, 刻苦的"
cautionary,a. 警告的
chary,"a. 细心的, 吝啬的, 谨慎的"
cogitate,"v. 思考, 考虑"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
discreet,"a. 小心的, 慎重的"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
engrossment,"n. 正式缮写的文件,专注"
foresight,"n. 远见, 深谋远虑
"
gingerly,"adv. 小心翼翼地, 慎重地
a. 慎重的, 谨慎的"
improvident,"a. 无远见的, 浪费的"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
measured,"a. 整齐的, 慎重的, 基于标准的"
meditative,"a. 默想的, 耽于默想的, 冥想的"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
preoccupation,"n. 抢先占据, 先人之见, 入神
"
prudence,"n. 审慎, 慎重, 精明, 节俭"
punctilious,"a. 精密细心的, 一丝不苟的, 拘泥形式的"
rapt,"a. 全神贯注的, 入迷的, 出神的
rap的过去式和过去分词"
sedulous,"a. 勤勉的, 勤苦工作的"
studied,"a. 有计划的, 慎重的"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
circumspect,"a. 细心的, 慎重的"
beware,"v. 小心, 谨防"
scrupulous,"a. 小心谨慎的, 细心的"
prudery,"n. 拘守礼仪, 假正经行为"
assertive,"a. 武断的, 过分自信的
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
mettle,"n. 气质, 耐力, 勇气"
morale,"n. 士气, 道德"
strive,"vi. 努力, 奋斗, 斗争"
bounteous,"a. 慷慨的, 充足的, 宽裕的"
generosity,"n. 慷慨, 宽大"
hospitable,"a. 好客的, 招待周到的"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
liberality,"n. 慷慨, 宽宏大量, 心胸宽大, 胸怀广阔, 公正, 丰富, 宽阔, 丰满"
magnanimity,n. 宽宏大量
magnanimous,"a. 宽宏大量的, 有雅量的
"
munificence,"n. 丰厚, 慷慨给与"
ungrudging,"a. 不吝惜的, 慷慨的, 自愿的, 由衷的
"
unstinting,"a. 无限制的, 慷慨的"
bountiful,"a. 慷慨的, 宽大的"
aesthetic,"a. 美学的, 审美的, 有美感的"
alluring,"a. 吸引人的, 诱人的, 迷人的"
comely,"a. 清秀的, 标致的, 美丽的"
debonair,"a. 温文有礼的, 高兴的"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
engaging,"a. 动人的, 迷人的, 有魅力的"
enthralling,a. 迷人的
exquisite,"a. 精致的, 细腻的, 敏锐的"
florid,"a. 华丽的, 红润的
"
gorgeous,"a. 华丽的, 灿烂的"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
lissome,"a. 柔软的, 敏捷的"
ornate,"a. 装饰的, 华丽的"
pulchritude,n. 美丽
seraphic,"a. 六翼天使的, 天使一般的, 纯洁的"
superb,"a. 极度的, 华丽的, 极好的"
taking,"n. 取得, 捕获, 进款
a. 迷人的, 可爱的, 会传染的"
transfigure,"vt. 使变形, 使改观, 美化"
winsome,"a. 引人注目的, 迷人的, 可爱的"
ineffable,"a. 无法形容的, 不可言喻的, 避讳的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
polished,"a. 擦亮的, 优雅的, 精良的"
celerity,"n. 迅速, 快速"
acuity,"n. 尖锐, (疾病的)剧烈, 敏锐
"
clairvoyance,"n. 神视, 超人的视力, 洞察力
"
perspicacious,"a. 聪颖的, 聪明的, 敏锐的, 有洞察力的"
perspicacity,"n. 聪颖, 聪明, 睿智, 洞察力"
responsive,"a. 回答的, 应答的, 易感应的"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
sensitivity,"n. 敏感, 灵敏度
"
sensitization,"n. 敏感化, 致敏作用
"
sensitize,"vt. 使敏感, 使具有感光性
vi. 变得敏感"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
trenchant,"a. 锐利的, 尖锐的, 有力的, 鲜明的, 清晰的"
condescending,"a. 谦逊的, 故意屈尊的, 有优越感的"
humility,"n. 谦逊, 谦虚, 谦卑"
self-abasement,n. 自卑
unassuming,"a. 谦逊的, 不装腔作势的"
courteous,"a. 彬彬有礼, 谦恭的"
delve,"v. 探究, 查考
n. 坑, 穴"
diligence,n. 勤奋
industrious,"a. 勤勉的, 刻苦的"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
sedulity,"n. 勤勉, 勤奋"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
lucubration,"n. (在灯下)刻苦钻研, 冥思苦想"
diligent,"a. 勤勉的, 用功的"
exertion,"n. 努力, 发挥, 运用
"
altruism,"n. 利他主义, 利他"
altruistic,"a. 利他的, 无私心的"
conscience,"n. 良心
"
egotist,n. 自我中心主义者
agile,"a. 敏捷的, 灵活的, 机敏的"
agility,"n. 敏捷, 灵活, 机敏"
dapper,"a. 整洁的, 整齐的, 短小精悍的"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
flit,"n. 掠过, 迁徙
vi. 掠过, 迁徙"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
lope,"v. (使)大步慢跑
n. 大步慢跑"
scamper,"n. 蹦跳, 奔跑, 浏览
vi. 蹦跳, 奔跑, 浏览"
scud,"vi. 飞奔, 疾行
n. 飞奔, 飞云, 小阵雨, 皮垢"
scurry,"vi. 急赶, 急跑, 急转
n. 急赶, 急跑, 急转, 阵雪, 阵雨"
scutter,vi. 急跑；疾走
sprint,"n. 短距离赛跑
vi. 全速跑, 冲刺
vt. 全速跑过"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
dauntless,"a. 不屈不挠的, 大胆的"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
collected,"a. 收集成的, 镇定的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
gallant,"a. 英勇的, 壮丽的, 华丽的"
hardihood,"n. 胆大无敌, 刚毅, 厚颜, 强壮"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
spunk,"n. 精神, 勇气, 怒意, 引火柴"
valiant,"a. 英勇的
n. 勇敢的人"
valor,"n. 英勇, 刚勇, 勇猛"
valorous,"a. 勇敢的, 勇武的, 刚勇的"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
gamely,"adv. 不屈地, 勇敢地"
genuine,"a. 真正的, 真实的, 诚恳的
"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
probity,"n. 诚实, 正直"
rectitude,"n. 正直, 纯正, 正确
"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
unfeigned,"a. 非假装的, 真实的, 诚实的"
upfront,"a. 正直的, 坦率的; 最前面的, 首要的; 在前面的; 预先的
adv. 在最前面; 提前支付（工资）"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
veracious,"a. 说实话的, 诚实的, 老实的, 真实的"
veracity,"n. 说话老实, 老实, 诚实"
heartfelt,"a. 衷心的, 真心真意的"
disingenuous,"a. 不老实的, 不诚实的, 狡猾的"
assertiveness,"n. 魄力, 自信"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
confidence,"n. 信心
"
cinch,"n. 肚带, 紧握, 必然(发生)的事情
vt. 给...系肚带, 紧握住, 抓牢"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
confident,"a. 有信心的, 有把握的"
assurance,"n. 保证, 把握, 信心, 保险
"
diffidence,"n. 无自信, 畏缩, 羞怯"
imperious,"a. 专横的, 傲慢的, 迫切的
"
vainglorious,"a. 自以为了不起的, 自负的, 虚荣心强的"
arrogance,"n. 傲慢态度, 自大"
arrogant,"a. 自大的, 傲慢的"
bloated,"a. 发胀的, 浮肿的, 傲慢的"
bumptious,"a. 瞎自夸的, 瞎自大的, 傲慢的"
conceit,"n. 自负, 空想, 狂妄"
consequential,"a. 作为结果的, 随之发生的, 推论的, 间接的, 重大的, 自大的, 傲慢的, 自傲的
"
contumely,"n. 无礼, 傲慢, 侮辱"
haughty,"a. 傲慢的, 骄傲的, 崇高的"
hauteur,n. 傲慢；自大
headstrong,"a. 顽固的, 刚愎的, 任性的"
hubris,"n. 傲慢, 狂妄野心"
insolence,"n. 傲慢, 无耻, 傲慢态度
"
narcissism,"n. 自我陶醉, 自恋
"
overweening,"a. 骄傲的, 自负的, 过于自信的, 过分的"
perverse,"a. 乖张的, 故意作对的, 有悖常情的, 执迷不悟的, 歪曲的, 错误的, 不正当的
"
pertness,"n. 无礼, 傲慢, 活泼, 雅致"
pomposity,n. 炫耀
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
pontifical,"a. 教皇的, 主教的, 大祭司的
n. 主教全套服饰, 主教仪典"
preen,"vt. 用嘴整理, 打扮, 使得意
vi. 打扮漂亮, 感到得意"
pretension,"n. 自负, 骄傲, 主张"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
primp,"v. 打扮, 装饰"
self-absorbed, 专顾自己的
smug,"a. 自以为是的, 自鸣得意的, 整洁的
n. 书呆子, 自命不凡的家伙"
supercilious,"a. 傲慢的, 自大的, 目空一切的"
unscrupulousness,n. 狂妄；不择手段
upstage,"a. 在舞台后部的, 傲慢的, 自负的
adv. 在舞台后方
vt. 抢戏"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
egotism,"n. 自我中心癖, 自负
"
barefaced,"a. 公然的, 无耻的, 无面具的"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
brassy,"a. 似黄铜的, 厚脸皮的
n. 铜头高尔夫球棍"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
despicable,"a. 可鄙的, 卑劣的"
effrontery,n. 厚颜无耻
harridan,"n. 凶恶的老妇, 丑婆, 鬼婆"
ignoble,"a. 卑贱的, 卑鄙的, 低级的"
ignominious,"a. 可耻的, 不名誉的, 下流的"
scurvy,"a. 下流的, 卑鄙的, 无礼的
n. 坏血病"
sneaky,"a. 鬼祟的, 卑微的"
underhanded,"a. 人手不足的, 秘密的, 卑劣的"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
misbehave,"v. (使)行为无礼貌, (使)行为不端"
abase,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
currish,"a. 野狗似的, 脾气坏的, 没教养的"
grovel,"vi. 趴, 匍匐, 卑躬屈膝"
hangdog,"a. 鬼鬼祟祟的, 卑躬屈膝的, 低贱的
n. 卑微的人"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
mendicant,"a. 行乞的, 托钵修道会的, 化缘的
n. 乞丐, 乞讨, 托钵僧"
serfdom,"n. 农权制, 农奴地位, 农奴境遇, 奴役"
servile,"a. 奴隶的, 奴性的, 卑屈的"
sadistic,"a. 虐待狂的, 残酷成性的"
brutality,"n. 残忍, 无慈悲, 野蛮的行为"
cannibalism,"n. 嗜食同类, 食人, 嗜血成性"
sadistic,"a. 虐待狂的, 残酷成性的"
atrocious,"a. 残暴的, 凶恶的"
atrocity,"n. 残暴, 凶恶, 暴行
"
barbarous,"a. 野蛮的, 残暴的, 粗野的"
bestial,"a. 似野兽的, 残忍的, 卑劣的"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
brute,"n. 畜生, 残忍或好色之人
a. 残忍的, 无理性的, 畜生的"
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
cold-blooded,无情的
feral,"a. 野生的, 凶猛的, 野兽的
"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
gruff,"a. 粗哑的, 粗鲁的, 粗率的, 板着脸孔的"
inhumane,"a. 无人情味的, 薄情的, 残忍的"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
pitiless,"a. 无情的, 冷酷的, 无怜悯心的"
relentless,"a. 无情的, 冷酷的, 残酷的"
riotous,"a. 引起骚扰的, 暴乱的, 放荡的"
rowdy,"n. 好吵闹的人
a. 吵闹的"
ruthlessness,n. 无情；冷酷；残忍
satanic,"a. 魔鬼似的, 穷凶极恶的, 邪恶的, 非常残酷的, 罪恶的, 极恶劣的"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
truculent,"a. 野蛮的, 粗暴的, 致命的, 好斗的"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
ferocity,"n. 凶猛, 残忍, 狂暴的行为"
half-baked,"半熟的,没有经验的"
slipshod,"a. 破烂的, 马虎的, 潦草的"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
bandy,"a. 向外弯曲的
vt. 打来打去, 谈论, 往复投掷"
brusque,"a. 唐突的, 直率的"
compulsion,"n. 强迫, 强制
"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
curt,"a. 简略的, 简短的, 生硬的"
facetious,"a. 滑稽的, 爱开玩笑的"
flippant,"a. 轻率的, 没礼貌的, 嘴碎的"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
giddy,"a. 眼花的, 头晕的
v. (使)眼花, (使)眩晕"
headlong,"a. 头向前的, 仓猝而用力的, 轻率的
adv. 头向前地, 猛然地, 用力地"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
impudent,"a. 鲁莽的, 卑鄙的, 厚颜无耻的"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
levity,"n. 轻率, 轻浮, 不稳定"
liberty,"n. 自由, 特权, 许可, 冒失
"
lowbred,a. 未受过好教育的
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
skittish,"a. 易惊的, 轻佻的, 三心二意的, 不可靠的, 羞怯的, 活泼的, 爱蹦跳的, 活跃的"
temerity,"n. 鲁莽, 蛮勇"
gloss over sth.,掩盖
indiscretion,"n. 鲁莽, 不慎重, 轻率
"
asinine,"a. 驴的, 像驴的, 愚蠢的"
awkward,"a. 笨拙的, 棘手的"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
botch,"v. 拙笨地修补, 糟蹋
n. 拙笨的修补, 难看的补缀"
bovine,a. 牛的；似牛的；迟钝的
bumble,"vi. 结结巴巴地说, 犯大错, 踉跄, 跌倒"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
crass,"a. 粗俗的, 愚钝的, 粗糙的, 非常的"
daft,"a. 愚笨的, 癫狂的, 狂闹的"
dotage,"n. 老耄, 老迷糊, 溺爱
"
dote,"vi. 昏聩, 溺爱"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
fatuity,"n. 愚钝, 昏庸, 愚蠢言行
"
fatuous,"a. 发呆的, 愚笨的"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
fritter,"vt. 浪费, 细切, 剁碎
n. 细片, 屑"
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
gauche,"a. 缺乏社经验的, 笨拙的, 粗鲁的, 无礼的, 偏转的"
gaucherie,"n. 笨拙, 不老练, 无礼"
heavy-handedness,笨手笨脚的
ham-handed,"na. “ham-fisted”的变体
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
infatuate,"vt. 使迷恋, 使糊涂
a. 着迷的
n. 迷恋者"
lackluster,"a. 没有光泽的, 无生气的, 平凡的
n. 无光泽, 无生气, 暗淡"
lethargy,"n. 昏睡, 瞌睡, 无力气
"
maladroit,"a. 笨拙的, 拙劣的, 愚钝的"
muzzy,"a. 发呆的, 无精神的, 含糊的"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
oafish,"a. 痴呆的, 畸形的"
