divulge,"vt. 泄露, 透露"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
off-putting,a. 令人厌恶的; 老是推托的
profligate,"a. 放荡的, 不检点的, 浪费的
n. 放荡者, 享乐者"
unctuous,"a. 油的, 油质的, 油腻的, 虚情假意的
"
nimble,"a. 敏捷的, 伶俐的, 聪明的"
shoddy,"a. 用长弹毛做的, 以次充好的
n. 长弹毛, 软再生毛, 赝品"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
verisimilitude,"n. 好像真实, 似真, 逼真
"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
sycophantic,"a. 说奉承话的, 阿谀的"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
detestation,"n. 憎恶, 嫌恶, 令人厌恶的人"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
tautology,"n. 同义反复, 赘述, 重言式
"
leaven,"n. 酵母, 促使渐变的因素
vt. 使发酵, 渐变"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
"
exorbitant,"a. 过度的, 过高的, 过分的"
corollary,"n. 必然的结果, 系, 推论"
perforce,"adv. 必然地, 只得"
proselytize,"vt. 使改变宗教信仰
vi. 劝诱改变宗教信仰"
fetishize,"v. 盲目迷恋, 以…为偶像"
omnivorous,"a. 无所不吃的, 杂食的, 什么都喜欢的"
urbane,a. 彬彬有礼的
idiosyncrasy,"n. 气质, 特性, 风格
"
forthcoming,"a. 即将来临的
n. 来临"
pecuniary,"a. 金钱的, 金钱方面的, 课罚款的
"
pathos,"n. 伤感力, 感伤, 悲怅, 同情, 偶然因素, 哀婉动人的词句"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
panoply,"n. 全套披甲, 全幅盔甲, 华服美饰"
arboreal,"a. 树的, 栖于树木的
"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
peremptory,"a. 断然的, 俨然的, 强制的, 不容置疑的, 急迫的
"
avian,"a. 鸟类的
n. 鸟"
ramshackle,"a. 象要倒的, 摇晃的, 放荡的"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
rancor,"n. 敌意, 深仇"
dewy-eyed,"a. 天真的, 容易相信的"
epitome,"n. 概要, 缩影, 象征"
fissure,"n. 裂缝, 裂沟
v. (使)裂开, (使)分裂"
parley,"n. 会谈, 谈判
vi. 会谈, 谈判
vt. 讲"
immolate,"vt. 为供神而宰杀, 牺牲, 杀死"
lassitude,"n. 疲倦, 疲乏, 无精神
"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
overreach,"vt. 扩展...以上, 过度伸张, 走过头
vi. 伸得过远, 过分, 过火"
demarcate,"vt. 定界, 分开, 区别"
evince,"vt. 表明(感情等), 表示出(特性等)"
veer,"vi. 转向
vt. 使转向
n. 转向"
resilient,"a. 弹回的, 有弹力的
"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
devolve,"vt. 转移, 下放(权力等), 委托
vi. 被移交"
adulation,"n. 谄媚, 过分的称赞"
demolish,"vt. 毁坏, 破坏, 粉碎"
timely,"a. 及时的, 适时的
adv. 及时地"
snapshot,"n. 快照, 抽点打印
"
obsequious,"a. 谄媚的, 奉承的, 顺从的"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
terse,"a. 简洁的, 扼要的"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
fluster,"n. 慌乱, 激动, 紧张不安
vt. 使紧张, 使慌张, 使激动
vi. 慌乱"
flatter,"vt. 奉承, 阿谀, 使高兴
"
accentuate,"vt. 以重音念, 强调, 重读"
augment,"v. 增加, 增长
"
certitude,"n. 确实性, 确信"
cachet,"n. 公章, 私人印戳, 标记, 威望, 纪念邮戳
"
contrite,"a. 悔悟了的, 后悔的, 痛悔的"
unanimous,"a. 意见一致的, 无异议的"
neologism,"n. 新语, 使用新语, 创造新语
"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
inimical,"a. 有敌意的, 有害的, 抵触的"
hallow,"vt. 使...神圣, 视为神圣
n. 圣徒"
annals,"n. 编年史, 活动年报, 历史"
execrate,"vt. 憎恨, 憎恶, 诅咒
vi. 诅咒"
unexampled,"a. 无前例的, 无可比拟的"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
claustrophobic,"a. (患)幽闭恐怖症的,导致幽闭恐怖症的"
atavism,"n. 隔代遗传, 返祖现象
"
prepossessing,a. 给人好感的
perfidious,"a. 不忠贞的, 背信的, 有异心的"
jubilation,"n. 欢呼, 喜欢, 庆祝"
peregrination,"n. 徒步旅行, 旅程, 人生历程, 漫谈, 泛论"
retribution,"n. 报应, 惩罚, 报酬
"
charlatan,"n. 庸医
"
malinger,"vi. 装病
"
halcyon,"n. 神翠鸟, 翡翠鸟
a. 宁静的, 平稳的, 翡翠鸟的"
predominant,"a. 占主导地位的, 卓越的
"
evocative,"a. 唤出...的, 唤起...的"
nonchalant,"a. 不关心的, 冷淡的, 无动于衷的"
ennoble,"vt. 授予爵位, 使高贵"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
prodigal,"n. 浪费者
a. 浪费的, 挥霍的, 丰富的"
disengage,"vt. 使脱离, 使松开, 使摆脱约束(或义务等)
vi. 脱离, 解脱"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
unilateral,"a. 单方面的, 单边的, 片面的
"
equable,"a. 平静的, 变动小的"
instantiate,vt. 例示
diverse,"a. 不同的, 变化多的"
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
"
pillory,"n. 颈手枷, 笑柄, 示众
vt. 上颈手枷, 使惹人嘲笑, 使受众辱, 将...示众"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
plunder,"n. 抢夺, 掠夺品, 战利品
v. 掠夺, 抢劫, 抢夺"
ennui,"n. 倦怠, 厌倦
"
conceive,"vt. 构思, 认为
vi. 怀孕"
devoid,"a. 全无的, 缺乏的"
sophisticated,"a. 复杂的, 久经世故的
"
conclusive,"a. 决定性的, 确定性的, 最后的
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
methodology,"n. 方法学, 方法论
"
tectonic,"a. 构造的, 建筑的
"
monogamy,"n. 一夫一妻制
"
pathogen,"n. 病原体
"
depict,"vt. 描述, 描写"
dismissive,a. 轻视的
invertebrate,"a. 无脊椎的, 无骨气的
n. 无脊椎动物, 无骨气的人"
discrepancy,"n. 不符合, 差异, 不相符之处
"
demographic,"a. 人口统计的
"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
synchronous,"a. 同时的, 同步的
"
hagiography,"n. 圣徒传, 圣徒言行录"
monochromatic,"a. 单色的, 单频的
"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
indigenous,"a. 本土的, 国产的, 固有的
"
insurrection,"n. 起义, 暴动, 反抗
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
propound,"vt. 提出供考虑
"
adulterate,"vt. 掺杂
a. 掺假的, 假的, 通奸的"
expository,"a. 说明的, 解释的"
anemia,"n. 贫血, 贫血症, 无活力
"
excavate,"v. 挖空, 挖出, 凿通"
acerbic,"a. 酸的, 尖刻的"
resurgence,"n. 再起, 复活, 再现"
colloquial,"a. 会话的, 口语的, 口语体的"
interjection,"n. 感叹词, 插入语"
hoodwink,"vt. 遮眼, 蒙蔽, 欺骗"
analogous,"a. 类似的, 相似的
"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
boycott,"n. 联合抵制
vt. 联合抵制"
sentimental,"a. 感伤的, 感情用事的"
castigate,"vt. 惩罚, 苛评, 修订"
preeminent,"a. 优秀的, 超群的, 卓越的"
terminology,"n. 术语, 术语学
"
domesticate,"vt. 养驯, 引进(外来词等), 教化"
pedagogical,"a. 教师的, 教学法的, 适宜于教师的"
skew,"a. 斜的, 歪的
n. 歪斜, 偏态家庭关系
vi. 歪斜, 侧转
vt. 使歪斜, 曲解
"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
discrete,"a. 不连续的, 离散的
"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
protagonist,"n. 主人公, 主角, 领导者"
forerunner,"n. 先驱, 前兆"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
straggle,"vi. 掉队, 落伍, 蔓延, 散乱
n. 低空扫射"
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
equilibrium,"n. 平衡, 平静, 均衡
"
quintessential,"a. 精萃的, 精髓的, 典范的"
regimen,"n. 养生法, 常规强化训练课, 体制, 情态
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
postulate,"n. 假定, 基本条件
vt. 要求, 假定"
onset,"n. 开始, 攻击, 进攻
"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
milieu,"n. 周围, 社会环境, 环境, 表达的手法
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
iterate,"vt. 反复说, 重复
"
prophetic,"a. 预言的, 先知的, 预示的"
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
condone,"vt. 赦, 宽恕
"
acumen,"n. 敏锐, 聪明"
agonize,"vt. 使极度痛苦, 折磨
vi. 感到痛苦"
revere,"vt. 崇敬, 敬畏, 尊敬"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
unsparing,"a. 不吝惜的, 慷慨的, 大方的, 严厉的, 不留情的, 不宽恕的"
belligerent,"a. 好战的, 交战的, 交战国的
"
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
penitential,"a. 忏悔的, 赎罪的, 苦修的, 作为补赎的
n. 悔罪者, 悔过者, 补赎法规"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
orthodox,"a. 正统的, 传统的, 惯常的"
allege,"vt. 宣称, 主张, 提出, 断言
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
improvise,"vt. 即席创作, 临时做"
eliminate,"vt. 除去, 排除, 剔除, 消除"
disquiet,"vt. 打搅, 使烦恼, 使忧虑, 使不安
n. 不安, 焦虑, 不平静"
predicament,"n. 处境, 穷境, 困局"
fester,"vi. 溃烂, 生脓
vt. 使溃烂
n. 脓疮, 溃烂"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
ascertain,"vt. 确定, 查明
"
counterproductive,a. 反生产的；使达不到预期目标的
misnomer,"n. 取名不当
"
precarious,"a. 不稳定的, 不安的, 危险的"
unrelenting,"a. 不怜悯的, 无情的, 冷酷的"
soporific,"a. 催眠的, 想睡的, 令人麻木不仁的
n. 催眠剂, 安眠药"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
banish,"vt. 驱逐, 消除
"
degrade,"v. (使)降级, (使)退化"
skittish,"a. 易惊的, 轻佻的, 三心二意的, 不可靠的, 羞怯的, 活泼的, 爱蹦跳的, 活跃的"
tranquil,a. 安静的
seemly,"a. 适当的, 恰当的, 合适的, 好看的"
unkempt,"a. 蓬乱的, 未被照管好的"
decorous,"a. 有礼貌的, 高雅的, 端正的"
tawdry,"a. 廉价而俗丽的
n. 廉价而俗丽之物"
décor,无
lush,"a. 苍翠繁茂的, 多青草的, 丰富的
n. 酒, 酒鬼
v. 饮"
acidic,"a. 成酸的, 尖刻的, 酸性的
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
impoverished,"a. 穷困的, 无力的,用尽了的"
threshold,"n. 门槛, 入口, 开端, 阈
"
disparage,"vt. 蔑视, 贬损
"
invalidate,"vt. 使无效
"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
ruminate,"v. 反刍, 沉思"
meander,"n. (河流的)蜿蜒, 漫步, 迂回旅行
vi. 蜿蜒流动, 漫步
vt. 使蜿蜒曲折"
bucolic,"a. 牧民的, 牧歌的, 乡下风味的
n. 田园诗, 农夫"
pastoral,"n. 牧歌, 田园诗
a. 牧人的, 田园生活的, 牧师的, 田园式的"
hard-nosed,"顽固的,理性实际的"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
opportunistic,"a. 机会主义的, 投机取巧的"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
predispose,"vt. 预先处置, 使预先有倾向"
eminent,"a. 显赫的, 杰出的, 有名的"
declamatory,"a. 雄辩的, 慷慨激昂的, 朗读的"
ascetic,"n. 苦行者, 禁欲者, 修道者
a. 苦行的, 禁欲的"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
sinister,"a. 不吉利的, 凶恶的, 左边的
"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
unrivaled,"a. 无敌的, 无双的, 无可匹敌的, 无比的, 至高无上的, 极好的"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
recondite,"a. 深奥的, 难解的, 隐藏的"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
cure-all,n. 万灵药
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
acquisitive,"a. 渴望获得的, 贪婪的
"
clangorous,"a. 当当响的, 响亮的"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
obsess,"vt. 迷住, 使困扰"
canonical,"a. 依教规的, 被认为圣典的, 权威的, 典型的
"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
quotidian,"a. 每日的, 每日发作的, 司空见惯的, 平凡的
n. 日发热"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
bathetic,"a. 陈腐的, 突降的"
veracious,"a. 说实话的, 诚实的, 老实的, 真实的"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
retrofit,"n. 式样翻新
vt.vi. 式样翻新
"
witty,"a. 富于机智的, 诙谐的"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
impecunious,"a. 没有钱的, 身无分文的, 贫穷的"
assiduous,"a. 勤勉的, 刻苦的"
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
abstruse,"a. 难解的, 深奥的"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
alter,v. 改变
penchant,"n. 爱好, 嗜好"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
homogeneous,"a. 同种的, 同质的, 齐性的
"
immense,"a. 极广大的, 无边的, 非常好的"
kindred,"n. 家族, 相似, 亲戚关系
a. 同族的, 同类的, 血缘的"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
run-of-the-mill,adj. 普通的，一般的，不突出的
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
oratorical,"a. 演说的, 雄辩的, 演说家的, 高谈阔论的"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
mortify,"vt. 抑制, 苦修, 使受辱
vi. 禁欲, 苦修"
heterodox,"a. 非正统的, 异端的"
doctrinaire,"n. 空论家, 纯理论家, 教条主义者
a. 空谈理论的, 脱离实际的"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
buoyant,"a. 有浮力的, 心情愉快的
"
premonitory,"a. 预先警告的, 前兆的
"
abreast,"adv. 并肩地, 并列地"
obstinate,"a. 倔强的, 顽固的, 不让步的"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
debacle,"n. 崩溃, 大失败"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
boon,n. 恩惠
hidebound,"a. 思想偏狭顽固的, 死板的, 量小的
"
sullen,"a. 愠怒的, 沉闷的, 阴沉的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
juxtapose,"vt. 并置, 并列
"
noxious,"a. 有害的, 有毒的, 使道德败坏的
"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
laborious,"a. 艰苦的, 费劲的, 勤劳的"
rhapsody,"n. 吟诵史诗, 狂文, 狂喜, 狂想曲"
stanch,"vt. 使止血, 止住, 止血
a. 坚固的, 防水的, 忠实的"
divert,"vt. 转移, 使欢娱
vi. 转移"
bungle,"v. 拙劣地工作, 粗制滥造, 把...搞糟
n. 粗劣, 失误, 笨拙"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
fixate,"vi. 使固定, 使不变, 注视
vt. 使固定, 注视"
aghast,"a. 惊骇的, 吓呆的"
obdurate,"a. 顽固的, 执拗的, 冷酷的
"
foresight,"n. 远见, 深谋远虑
"
glamorous,"a. 富有魅力的, 迷人的"
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
apostle,"n. 基督十二使徒之一, 早期基督教传士"
foreground,"n. 前景, 最显著的位置
"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
self-righteous,"adj. 自以为是的；自以为有道德的；伪善的
"
brandish,"vt. 挥, 挥舞
n. 挥舞"
erroneous,"a. 错误的, 不正确的
"
feasible,"a. 能实行的, 可行的, 适宜的
"
schism,"n. 分裂, 分立, 分裂教会罪
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
providential,"a. 天意的, 根据神意的, 天佑的, 幸运的"
tumultuous,"a. 吵闹的, 纷乱的, 骚乱的
"
panache,"n. 羽饰, 夸示, 假威风, 炫耀"
gawky,"a. 愚笨的, 腼腆的, 粗笨的, 笨拙的"
virulent,"a. 剧毒的, 致命的, 刻毒的, 恶毒的, 恶性的, 有病毒的, 过强的
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
benign,"a. 善良的, 良性的
"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
lurid,"a. 火烧似的, 苍白的, 华丽的, 可怕的"
copious,"a. 很多的, 丰富的, 内容丰富的"
negligent,"a. 疏忽的, 粗心的, 不在意的"
sartorial,"a. 裁缝匠的, 缝工的, 裁缝的"
supersede,"vt. 代替, 取代, 接替
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
approbate,"vt. 认可, 许可, 批准
"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
curtail,"vt. 缩减, 剥夺, 简略
"
fabricate,"vt. 制造, 建造, 装配, 伪造"
manacle,"n. 手铐, 束缚
vt. 给...上手铐, 束缚"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
bridle,"n. 马勒, 约束
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
digress,"vi. 走向岔道, 离题, 扯到枝节上"
entrench,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位
vi. 掘壕, 侵犯"
prowess,"n. 英勇, 勇敢, 超凡技术"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
ecstatic,"n. 狂喜的人
a. 狂喜的"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
disgruntle,vt. 使不高兴
gracious,"a. 亲切的, 慈善的"
humdrum,"a. 平凡的, 单调的, 令人厌烦的
n. 平凡, 单调, 无聊
vi. 单调令味地进行"
polarize,"v. (使)偏振, (使)极化, (使)两极分化"
hand-wringing,n. 绝望；焦虑；坐立不安
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
vanquish,"vt. 打败, 征服, 克服
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
garrulous,"a. 饶舌的, 多嘴的, 喋喋不休的"
prevaricate,"vi. 支吾其辞, 搪塞"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
haughty,"a. 傲慢的, 骄傲的, 崇高的"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
caricature,"n. 讽刺画, 漫画, 漫画手法
vt. 画成漫画讽刺"
abrade,"vt. 擦伤, 磨损, 磨
"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
apposite,"a. 贴切的, 合适的"
germane,"a. 关系密切的, 有关的, 同样的, 恰当的, 贴切的
"
fitful,"a. 断断续续的, 一阵阵的, 间歇的"
imperturbable,"a. 沉着的, 泰然自若的, 镇静的"
exigent,"a. 紧急的, 迫切的, 苛求的
"
surrogate,"n. 替代者, 代用品
vt. 代理, 替代"
erstwhile,"adv. 以前, 往昔地
a. 以前的, 往昔的"
onetime,"a. 从前的, 一度的
adv. 从前, 一度"
florid,"a. 华丽的, 红润的
"
defame,"vt. 诽谤, 中伤, 破坏名誉
"
inveigle,vt. 诱骗；诱使
timorous,"a. 胆怯的, 胆小的, 羞怯的"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
interminable,"a. 无限的, 冗长的"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
narcissism,"n. 自我陶醉, 自恋
"
substantiate,"vt. 使实体化, 证实
"
snare,"n. 陷阱, 诱惑, 圈套
vt. 以陷阱捕获, 诱惑"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
beholden,"a. 负有义务的, 受惠的"
indebted,"a. 负债的, 受惠的
"
impute,"vt. 归罪, 使负责, 嫁祸于"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
nettle,"n. 荨麻
vt. 以荨麻刺, 激怒"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
objurgation,"n. 训斥, 谴责, 非难"
nascent,"a. 发生中的, 开始存在的, 初期的
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
deft,"a. 敏捷熟练的, 灵巧的"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
plentiful,"a. 许多的, 丰富的, 丰饶的"
bountiful,"a. 慷慨的, 宽大的"
clearheaded,a. 头脑清楚的; 惺惺; 头脑清醒; 惺
interweave,"v. (使)交织, 织进, (使)混杂"
impolitic,"a. 失策的, 不得当的"
feeble,"a. 微弱的, 衰弱的, 无效的
"
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
denigrate,"vt. 使变黑, 玷污, 诋毁"
implore,"vt. 恳求, 哀求"
supplicate,"v. 恳求, 哀求, 恳请"
willful,"a. 任性的, 故意的, 有意的"
entreaty,"n. 恳求, 乞求"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
insipid,"a. 乏味的, 清淡的, 难吃的
"
modish,"a. 流行的, 时髦的"
salubrious,"a. 有益健康的, 健康的
"
treacherous,"a. 不可信任的, 危险的, 背叛的, 不可靠的
"
objectionable,"a. 会引起反对的, 令人讨厌的"
recrudesce,"vi. 复发, 再发作, 再爆发"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
nebulous,"a. 星云的, 星云状的, 朦胧的"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
garner,"n. 谷仓, 积蓄
vt. 储存, 贮藏"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
assail,"vt. 攻击, 质问
"
endow,"vt. 捐赠, 捐助, 赋予
"
intrude,"vi. 闯入, 侵入
vt. 强加于"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
abolish,"vt. 废止, 革除, 消灭
"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
compile,"vt. 编译, 编辑, 编纂, 收集
"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
splendor,"n. 光辉, 壮丽, 显赫"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
entrust,"vt. 信托, 交托, 委托
"
alliance,"n. 联盟, 联合
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
spacious,"a. 广大的, 宽广的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
