the,art. 那
warning,"n. 警告, 预告, 预兆, 通知
"
climate,"n. 气候, 社会趋势, 气候区
"
cheese,"n. 乳酪
"
observation,"n. 观察, 注意, 观测, 观察力
"
childhood,"n. 孩童时期
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
sir,"n. 先生, 阁下"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
cigarette,"n. 香烟, 纸烟"
definition,"n. 定义, 精确度, 清晰度
"
priority,"n. 优先权, 优先
"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
creation,"n. 创造, 创作物, 发明
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
emotion,"n. 情绪, 激动, 强烈的情感
"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
dramatic,"a. 戏剧性的, 生动的"
universe,"n. 宇宙, 星系, (思想等)范围"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
excellent,"a. 优良的, 杰出的, 出色的"
deeply,"adv. 深刻地, 在深处, 深沉地"
prosecutor,"n. 实行者, 告发者, 公诉人
"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
airline,"n. 航线, 航线的设备, 航空公司"
library,"n. 图书馆, 藏书, 库
"
agenda,"pl. 议程, 日常工作事项
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
factory,"n. 工厂, 产生地, 代理店
"
selection,"n. 选择, 选文, 精选品
"
primarily,"adv. 主要地, 首先地"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
unable,"a. 不能的, 不会的
"
expense,"n. 费用, 代价, 开支, 损失
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
funding,[经] 债务转期
therapy,"n. 治疗
"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
sad,"a. 忧愁的, 悲哀的"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
existing,"a. 存在的, 目前的, 现存的, 现有的
"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
regarding,prep. 关于
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
remaining,[电] 剩余的
visual,"a. 视觉的
"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
self,"n. 自己, 自我, 本性, 本质, 私心, 本人
vt. 使近亲繁殖, 使自花授精
vi. 自花授精
a. 同一的"
bike,"n. 自行车, 脚踏车"
tea,"n. 茶, 茶叶
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
comparison,"n. 比较, 对照, 比喻
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
planning,"n. 计划的制订, 策划, 设计, 规划
"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
description,"n. 描述, 说明, 种类
"
later,"adv. 以后, 随后"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
widely,adv. 广泛地
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
immediate,"a. 立即的, 直接的, 接近的
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
consist,"vi. 组成, 存在于, 一致"
alcohol,"n. 酒精, 酒
"
enable,"vt. 使能够
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
saving,"n. 存款, 挽救, 节约
a. 搭救的, 节约的, 保留的, 补偿的
prep. 除...之外"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
shall,aux. 将
error,"n. 错误, 过失, 失误, 误差
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
cop,"n. 警官
vt. 抓住"
Arab,[地名] 阿拉伯 ( 苏丹 )
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
existence,"n. 存在, 生存
"
album,"n. 粘贴簿, 唱片套
"
participation,"n. 参与, 分享
"
arrange,"v. 安排, 排列, 达成协议
"
atmosphere,"n. 大气, 空气, 气氛
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
deserve,"vt. 该得到, 值得
vi. 应得报答"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
discovery,"n. 发现, 被发现的事物
"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
exposure,"n. 暴露, 揭发, 揭露
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
hello,"interj. 喂, 嘿"
coalition,"n. 结合体, 结合, 联合
"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
racial,"a. 人种的, 种族的
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
Mexican,"n. 墨西哥人, 墨西哥语
a. 墨西哥的"
symptom,"n. 症状, 征候, 征兆
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
manufacturer,"n. 制造业者, 厂商
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
potato,n. 马铃薯
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
foundation,"n. 基础, 根据, 建立
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
online,[计] 联机
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
negotiation,"n. 谈判, 磋商, 交涉
"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
investigator,"n. 调查者, 审查者
"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
glad,"a. 高兴的, 喜欢的, 情愿的"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
reduction,"n. 减少, 缩影, 变化
"
rarely,"adv. 很少地, 罕有地"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
numerous,"a. 很多的, 数目众多的, 多数的
"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
elsewhere,adv. 在别处
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
practical,"a. 实际的, 现实的, 实用性的
"
moreover,"adv. 而且, 此外"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
essentially,"adv. 本质上, 本来"
gene,"n. 基因
"
enforcement,"n. 执行, 强制
"
vs,"prep. 对
"
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
independence,"n. 独立, 自立, 自主
"
marketing,"n. 行销, 买卖
"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
amazing,a. 令人惊异的
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
employer,"n. 雇主, 老板
"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
kiss,"n. 吻
vt. 吻
vi. 接吻"
illness,"n. 疾病, 恶意
"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
competitive,"a. 竞争的
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
congressional,"a. 会议的, 议会的, 国会的
"
involvement,"n. 卷入, 牵连, 包含, 困窘
"
dominate,"v. 支配, 占优势"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
whenever,"conj. 每当
adv. 不论何时, 每逢"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
analyze,"vt. 分析, 细察, 分解
"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
for,"prep. 为, 因为, 至于
conj. 因为
"
Indian,"n. 印度人, 印第安人, 印第安语
a. 印度的, 印度群岛的, 印第安语的"
disaster,"n. 灾祸, 不幸, 彻底失败"
parking,"n. 停车
a. 停车的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
complaint,"n. 诉苦, 抱怨, 控诉
"
championship,"n. 冠军身份, 冠军称号, 捍卫"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
enhance,"vt. 提高, 加强, 增加"
mystery,"n. 秘密, 神秘, 奥秘"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
poverty,"n. 贫穷, 贫困, 缺乏
"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
spending,"n. 经费, 开销
"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
evaluate,"vt. 评估, 评价, 赋值"
symbol,"n. 符号, 象征, 代号, 信条
"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
maker,"n. 制造者, 上帝
"
mood,"n. 心情, 气氛, 生气, 基调
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
emphasis,"n. 强调, 加强, 重点, 强语气"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
Asian,"n. 亚洲人
a. 亚洲的, 亚洲人的"
entertainment,"n. 娱乐, 款待, 娱乐表演"
bean,"n. 豆子
"
evaluation,"n. 评估, 估价, 求值
"
creature,"n. 人, 动物, 创造物, 生物"
commander,"n. 司令官, 指挥官"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
arrangement,"n. 排列, 整齐, 安排
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
usual,"a. 平常的, 通常的"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
psychological,"a. 心理学的, 精神上的, 心灵的
"
heavily,"adv. 很重地, 严重地, 难以忍受地"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
approximately,"adv. 大约, 大致, 近于
"
increasing,[经] 递增
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
equally,"adv. 相等地, 同样地, 平等地"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
distribution,"n. 分配
"
transportation,"n. 运输, 输送, 交通车辆
"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
interpretation,"n. 解释, 演出, 翻译
"
breakfast,n. 早餐
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
strongly,"adv. 强有力地, 坚强地, 激烈地"
engineering,"n. 工程学, 工程, 操纵
"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
so-called,adj. 所谓的
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
clinic,"n. 诊所, 临床教学
"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
tablespoon,"n. 大汤匙
"
capable,"a. 有能力的, 能的, 能干的"
nervous,"a. 神经紧张的, 不安的, 神经的
"
tourist,"n. 观光客, 旅行者
a. 旅游的"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
crucial,"a. 决定性的, 重要的, 严厉的
"
bury,"vt. 埋葬, 埋藏"
pray,"v. 祈祷, 恳求, 请"
tomato,"n. 番茄, 西红柿"
exception,"n. 例外, 除外, 异议
"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
deficit,"n. 赤字, 不足额
"
bathroom,"n. 浴室, 厕所"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
electronic,"a. 电子的
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
reputation,"n. 名誉, 名声, 声望
"
mixture,"n. 混合, 混淆, 混合物
"
surely,"adv. 的确地, 安全地
"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
prisoner,"n. 囚犯, 犯人, 战俘
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
designer,"n. 设计者, 谋划者, 制图者
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
educator,n. 教育家
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
immigration,"n. 移民, 移居
"
belt,"n. 带子, 地带
"
teaspoon,"n. 茶匙
"
birthday,n. 生日
implication,"n. 牵连, 含义, 暗示
"
perfectly,"adv. 完全地, 无瑕疵地, 完整地"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
supporter,"n. 支持者, 后盾, 迫随者, 护身织物
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
teenager,n. 十三岁到十九岁的少年
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
retirement,"n. 退休, 隐居, 撤退
"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
