criticize,"v. 批评, 吹毛求疵, 非难"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
mockery,"n. 嘲弄, 笑柄, 歪曲"
alleviate,"vt. 减轻, 使缓和"
asunder,"adv. 分开, 散, 碎"
discern,"v. 辨别, 看清楚, 了解"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
fortunate,"a. 幸运的, 幸福的"
intend,"vt. 计划, 打算, 意思是
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
detect,"vt. 发现, 察觉, 探测
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
forth,"adv. 往前, 以后, 向外"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
vocabulary,"n. 词汇(量), 词汇表
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
reasoning,"n. 推论, 推理, 论证
"
distrust,"n. 不信任
vt. 不信任"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
vanish,"vi. 消失, 不见, 成为零"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
abound,"vi. 大量存在, 富于, 充满"
existence,"n. 存在, 生存
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
inward,"a. 内心的, 向内的, 本来的
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
opinion,"n. 意见, 评价, 主张
"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
whereas,"conj. 然而, 鉴于
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
consist,"vi. 组成, 存在于, 一致"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
ceremony,"n. 典礼, 仪式, 礼节
"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
denote,"vt. 指示, 表示"
stately,"a. 庄严的, 宏伟的"
blighted,"a. 挫折, 枯萎, 摧残, 毁损"
deserted,"a. 被遗弃的, 废弃的
"
derive,"vt. 得自
vi. 起源"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
commend,"vt. 嘉奖, 委托给, 推荐"
interpose,"vt. 使插入, 使介于二者间, 使干涉
vi. 插嘴, 干预"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
fearful,"a. 可怕的, 恐怕的, 担心的"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
rustle,"n. 沙沙声, 瑟瑟声, 飒飒声, 急忙
vi. 发出沙沙声
vt. 使飒飒作响"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
on reflection,再经考虑
mincing,"a. 矫饰的, 装腔作势的, 装模作样的, 切碎的"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
disappointed,a. 失望的
definite,"a. 明确的, 一定的
"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
descent,"n. 降落, 家系, 侵袭, 血统
"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
suitable,"a. 适当的, 相配的
"
candidate,"n. 候选人, 投考者
"
authentic,"a. 可靠的, 可信的, 真正的
"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
hatred,"n. 憎恨, 仇恨, 憎恶
"
elegant,"a. 优雅的, 端庄的, 高雅的"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
mostly,"adv. 大概, 大部分, 主要
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
addiction,"n. 入迷, 瘾
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
sin,"n. 罪, 犯罪, 过失, 失礼
v. 犯"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
conscience,"n. 良心
"
justified,"a. 有道理的, 合乎情理的
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
appliance,"n. 器械, 用具, 应用
"
replace,"vt. 代替, 替换, 放回, 归还
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
crave,"v. 渴望, 热望, 恳求"
yearn,"vi. 渴望, 想念, 怀念, 同情"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
obsession,"n. 困扰, 困扰人的情绪
"
eager,"a. 热心的, 渴望的, 热望的"
remind,"vt. 提醒, 使想起"
deny,"v. 否认, 拒绝"
tremendous,"a. 巨大的, 非常的, 可怕的"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
compel,"vt. 强迫, 迫使"
cooperate,"vi. 合作, 协力, 配合
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
economy,"n. 经济, 理财, 节约
"
accelerated,"a. 加快的
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
prosperity,"n. 繁荣, 茂盛, 成功
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
decisive,"a. 决定性的, 坚定的, 果断的"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
continent,"n. 大陆, 洲
a. 自制的"
conceive,"vt. 构思, 认为
vi. 怀孕"
dedicate,"vt. 献出, 贡献"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
oasis,"n. 绿洲, 舒适的地方
"
freedom,"n. 自由, 坦率, 特权
"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
facility,"n. 容易, 灵巧, 设备
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
international,"a. 国际的
n. 国别设定
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
amicable,"a. 友善的, 友好的
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
costly,"a. 昂贵的, 奢华的, 费用大的"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
civic,"a. 市的, 市民的, 公民的
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
"
million,"n. 百万, 无数
num. 百万"
deficit,"n. 赤字, 不足额
"
afford,"vt. 买得起, 足以, 给予"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
differ,"vi. 不一致, 不同
"
ample,"a. 大量的, 充足的, 丰富的"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
friction,"n. 摩擦, 摩擦治疗, 不和
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
detain,"vt. 扣留, 扣押, 耽搁
"
reliant,"a. 依赖的, 信赖的"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
defend,"vt. 防护, 辩护, 防卫
"
behalf,"n. 利益, 方面"
conventional,"a. 传统的, 习惯的, 约定的
"
emotion,"n. 情绪, 激动, 强烈的情感
"
cynicism,n. 犬儒主义
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
reaffirm,"vt. 重申, 再确认"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
generation,"n. 一代, 一世, 产生
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
engaged,"a. 忙碌的, 使用中的"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
improvement,"n. 进步, 改善, 利用
"
machinery,"n. 机器, 机械装置, 机构
"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
frivolity,"n. 轻薄, 轻率, 不足取的事"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
promote,"vt. 促进, 晋升, 创办, 推销
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
promissory,"a. 约定的, 约好的, 约定支付的
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
unalienable,"[法] 不可转让的, 不可剥夺的, 不可出卖的"
liberty,"n. 自由, 特权, 许可, 冒失
"
persistently,adv. 坚持地; 固执地; 一个劲儿
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
duration,"n. 持续时间, 持续
"
afloat,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的
adv. 飘浮着, 在海上, 浸满水, 在进行中"
cargo,"n. 货物
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
status,"n. 状态, 情形, 地位, 要人身份
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
paralyze,"vt. 使瘫痪, 使麻痹
"
tribute,"n. 贡物, 礼物, 颂辞"
undone,"a. 没有做好, 未完成的, 破灭的, 解开的
undo的过去分词"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
tragic,"a. 悲惨的, 悲剧的"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
agony,"n. 极大的痛苦, 挣扎
"
famine,"n. 饥荒, 缺乏, 饥饿"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
apparatus,"n. 装置, 器具, 器官
"
indicate,"vt. 显示, 象征, 指示, 指出
"
harassment,"n. 困扰, 烦扰, 烦恼
"
preacher,"n. 传道士, 讲道者, 牧师"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
John Kennedy,无
demonstrate,"vt. 示范, 证明
vi. 示威"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
reliable,"a. 可靠的, 可信赖的
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
atomic,"a. 原子的, 原子能的
"
comprehend,"vt. 理解, 包括"
significance,"n. 重要性, 意义, 意味
"
genuine,"a. 真正的, 真实的, 诚恳的
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
legacy,"n. 祖先传下来之物, 遗赠物
"
redirect,"vt. 重新寄送, 使改道, 使改方向
"
fountainhead,"n. 水源, 源, 本源"
discovery,"n. 发现, 被发现的事物
"
virtually,adv. 事实上
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
disqualify,"vt. 使不适合, 取消...资格"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
ethnic,"a. 人种的, 种族的
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
environment,"n. 环境, 外界, 围绕
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
gathering,"n. 聚集, 集中, 采集
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
commerce,"n. 商业, 商务, 贸易
"
Confucius,n. 孔子
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
campus,"n. 校园, 大学生活"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
adapt,"vt. 使适应, 改编
vi. 适应"
decorate,v. 装饰
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
celebration,"n. 庆祝, 庆典"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
ancestor,"n. 祖先, 祖宗"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
religion,"n. 宗教, 信仰
"
radically,"adv. 根本地, 完全地"
linguistic,"a. 语言的, 语言学的
"
background,"n. 背景, 背景资料
"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
tradition,"n. 传说, 传统, 交付
"
atmosphere,"n. 大气, 空气, 气氛
"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
gateway,"n. 门, 通路
"
network,"n. 网络, 广播网, 网状物
"
dynasty,"n. 朝代, 王朝"
reunion,"n. 团圆, 重聚
"
advent,"n. 来到, 来临"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
dialect,"n. 方言, 同源语"
moreover,"adv. 而且, 此外"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
customary,"a. 习惯的, 惯常的
"
civilization,"n. 文明, 教化
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
tribe,"n. 宗族, 部落, 一群人
"
indication,"n. 指示, 象征, 暗示
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
explore,"v. 探险, 探测, 探究"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
stillness,"n. 静止, 沉静"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
immensity,"n. 广大, 无边, 巨物"
horizon,"n. 地平线, 眼界, (天)视地平"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
commanding,"a. 指挥的, 威风凛凛的, 居高临下的"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
abundant,"a. 丰富的, 充分的, 大量的"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
mystery,"n. 秘密, 神秘, 奥秘"
concept,"n. 观念, 概念
"
beloved,"a. 心爱的
n. 心爱的人"
regardlessly,"adv. 不受注意地, 毫无价值地"
embody,"vt. 具体表达, 使具体化
"
inevitably,adv. 不可避免地
origin,"n. 起源, 起因, 出身, 开端
"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
erase,"vt. 抹去, 擦掉
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
electric,"a. 电的, 导电的, 电动的
"
modernization,n. 现代化
ecology,"n. 生态学, 社会生态学
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
mechanical,"a. 机械的, 机械性的, 力学的
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
arrangement,"n. 排列, 整齐, 安排
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
wretchedness,"n. 可怜, 悲惨"
sufficient,"a. 充分的, 足够的
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
comparison,"n. 比较, 对照, 比喻
"
between,prep. 在...之间
adjoining,"a. 邻接的, 毗连的
"
instructive,"a. 有益的, 增进知识的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
genetics,"n. 遗传学
"
ethics,"n. 道德规范
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
debauchery,"n. 放荡, 堕落"
warning,"n. 警告, 预告, 预兆, 通知
"
battery,"n. 电池, 殴打
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
version,"n. 一种描述, 版本, 译文
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
be aware of,知道
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
self-consciousness,自我意识；自觉意识
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
logical,"a. 合乎逻辑的, 合理的
"
conclusion,"n. 结论, 结尾, 推论
"
divert,"vt. 转移, 使欢娱
vi. 转移"
subsidy,"n. 补助金, 津贴
"
carbon,"n. 碳, 副本, 复写纸
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
loyalty,"n. 忠贞, 忠诚, 忠实
"
supplementary,"a. 补足的, 补充的, 追加的
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
dominant,"a. 占优势的, 支配的
"
linguistically,adv. 语言学方面
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
assess,"vt. 估定, 对...征税, 评定
"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
inflation,"n. 胀大, 夸张, 通货膨胀
"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
transgressor,"n. 违反者, 犯规者, 罪人
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
dilemma,"n. 困境, (进退两难的)窘境"
enforce,"vt. 强迫, 执行, 坚持
"
turn a blind eye," 熟视无睹：拒绝正视, 装作没看见"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
artificial,"a. 人造的, 假的, 非原地产的
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
correspond,"vi. 符合, 通信, 相当
"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
abdomen,"n. 腹部
"
distend,"v. (使)膨胀, (使)扩张"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
