able,"a. 能干的, 能够的"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
inviting,"a. 引人动心的, 有魅力的
"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
princess,"n. 公主, 王妃, 女巨头"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
kiss,"n. 吻
vt. 吻
vi. 接吻"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
know,"v. 知道, 了解, 认识, 确信"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
lady,"n. 淑女, 夫人, 女士, 贵妇"
sir,"n. 先生, 阁下"
madam,"n. 女士, 夫人"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
lamp,"n. 灯
vt. 照亮
"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
language,"n. 语言, 文字, 措辞
"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
guilt,"n. 罪行, 内疚
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置
a. 单位的, 单元的
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
luggage,"n. 行李, 皮箱"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
maid,"n. 少女, 未婚女子, 女仆"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
waiter,n. 侍者
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
spouse,n. 配偶
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
member,"n. 成员, 会员
"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
merely,adv. 只
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
method,"n. 方法, 办法, 条理, 秩序
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
outdate,vt. 使过时
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
necessary,a. 必要的；必然的；必需的
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
nervous,"a. 神经紧张的, 不安的, 神经的
"
news,"n. 新闻, 消息, 报导
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
yes,"adv. 是
n. 是, 同意
v. 同意"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
nursery,"n. 托儿所, 苗圃, 温床
"
nut,"n. 坚果, 核心, 螺帽
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
against,"prep. 反对, 对着, 倚靠"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
ordinal,"n. 序数
a. 顺序的, 依次的"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
pair,"n. 一双, 一对, 一副
v. (使)成对"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
piano,n. 钢琴
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
poem,"n. 诗, 诗般美的事物"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
thief,"n. 小偷, 贼
"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
provoke,"vt. 激怒, 惹起, 诱导
"
province,"n. 省, 地方, 职权, 领域
"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
refrigerator,"n. 电冰箱, 冷藏库
"
washer,"n. 洗衣人, 垫圈, 洗衣机
"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
ripe,"a. 成熟的, 熟练的, 成年的
"
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
rubbish,"n. 废物, 垃圾, 胡说"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
shall,aux. 将
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
might,"n. 力量, 权力
aux. 可能, 也许"
perhaps,"adv. 也许, 大概"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
technique,"n. 技巧, 技术, 方法
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
statement,"n. 陈述, 指令, 声明
"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
remain,"vi. 保持, 逗留, 剩余
"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
these,pron. 这些
this,"pron. 这, 本
a. 这, 本
adv. 这么"
those,pron. 那些
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
used,"a. 使用过的, 二手的, 习惯的"
abdomen,"n. 腹部
"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
kidney,"n. 肾, 个性
"
liver,"n. 肝脏, 生活者, 居民
"
spine,"n. 背骨, 脊柱, 尖刺
"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
thigh,"n. 大腿, 股
"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
skull,"n. 头盖骨, 头脑, 好学生
"
chin,"n. 下巴, 颏
"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
ankle,"n. 踝
"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
normalization,"n. 常态化, 正常化, 正规化
"
normalisation,n. normalise的变形
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
appendix,"n. 附录, 附加物, 阑尾
"
acentric,"a. 无中心的
"
axis,"n. 轴
"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
medial,"a. 中间的, 平均的, 普通的
n. 中间字母"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mediator,"n. 调停者, 传递者, 基督
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
multimedia,"n. 多媒体
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
carbohydrate,"n. 碳水化合物, 糖类
"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
acre,n. 英亩
ounce,"n. 盎司, 少量, 雪豹
"
kilometer,"n. 千米, 公里
"
kilometre,"n. 公里, 千米"
centimeter,"n. 厘米
"
centimetre,"n. 厘米, 公分"
millimeter,"n. 毫米
"
millimetre,"n. 毫米
"
gallon,"n. 加仑
"
liter,"n. 公升
"
litre,"n. 升, 公升
"
gram,"n. 克, 绿豆, 鹰嘴豆
"
gramme,"n. 克
"
quart,"n. 夸脱
"
acrobat,"n. 表演特技者, 杂技演员"
circus,"n. 马戏团, 马戏, 竞技场"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
county,"n. 县, 郡"
magistrate,"n. 长官, 法官, 推事
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
grown-up,"成年的,适于成年人的"
adverb,n. 副词
noun,n. 名词
pronoun,n. 代词
plural,"n. 复数
a. 复数的, 两个以上的"
diction,"n. 措辞, 发音, 用语"
pretext,"n. 借口, 托词
v. 以...为借口"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
afflict,"vt. 使苦恼, 折磨"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
harassment,"n. 困扰, 烦扰, 烦恼
"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
disturbance,"n. 扰乱, 不安, 忧虑
"
uproar,"n. 骚动, 喧嚣"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
aisle,"n. 走廊, 侧廊, 过道
"
corridor,"n. 走廊, 回廊, 人口密集地带"
porch,"n. 门廊, 走廊"
lane,"n. 小路, 巷, 弄, 单行道"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
avenue,"n. 大街, 途径, 林荫路"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
orbital,"a. 轨道的, 眼眶的
"
passerby,"n. 过路人, 行人"
album,"n. 粘贴簿, 唱片套
"
postage,"n. 邮资
"
postman,"n. 邮递员
"
allocate,"vt. 分派, 分配
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
aluminum,"n. 铝
"
aluminium,"n. 铝
a. 铝的"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
bronze,"n. 青铜, 铜像
a. 青铜色的"
copper,"n. 铜, 警察
"
mercury,"n. 水银, 汞, 使者
"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
sulphur,"n. 硫, 硫磺
"
zinc,"n. 锌
vt. 镀锌于"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
federation,"n. 联邦, 联合, 联盟
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
ambassador,"n. 大使
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
amiable,"a. 亲切的, 和蔼可亲的
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
gracious,"a. 亲切的, 慈善的"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
benign,"a. 善良的, 良性的
"
