accustom,vt. 使习惯于
parliamentary,"a. 国会的, 议会的, 议会制度的"
politician,"n. 政客, 政治家, 从事党派政治的人
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
premier,"n. 总理, 首相
a. 首位的, 最初的"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
proletarian,"a. 无产阶级的
n. 无产者"
racial,"a. 人种的, 种族的
"
racialism,"n. 种族主义, 人种优劣论"
racism,"n. 种族主义, 种族偏见
"
racist,"n. 种族主义者
"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
rebellion,"n. 谋反, 叛乱, 反抗
"
rebellious,"a. 造反的, 反抗的
"
refugee,"n. 难民, 流亡者
"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
reinforcement,"n. 加强, 增援, 补充, 援军, 加固物
"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
rotational,"a. 转动的, 轮流的"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
secretarial,"a. 秘书的, 书记的"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
senate,"n. 参议院, 立法机构, 评议会"
sergeant,"n. 警察小队长, 军士"
serviceman,"n. 军人, 维修人员
"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
sovereignty,"n. 主权, 独立国
"
squadron,"n. 骑兵营, 分遣队, 小舰队"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
stripe,"n. 斑纹, 条纹
"
stronghold,"n. 要塞, 堡垒, 大本营"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
throne,"n. 王座, 君主"
enthrone,"vt. 立...为王, 使登基, 任为主教, 崇拜"
triumphant,"a. 得胜的, 得意洋洋的"
tyranny,"n. 专制, 暴政
"
tyrant,"n. 暴君
"
underdeveloped,"a. 开发不充分的, 不发达的, 发育不全的"
united,"a. 联合的, 团结的, 一致的, 和睦的
"
unity,"n. 一致, 联合, 单一(性), 个体
"
unoccupied,"a. 空着的, 没人占的, 未被占领的"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
weapon,"n. 武器, 兵器
vt. 武装"
weaponry,"n. 武器, 军备, 武器设计研制学"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
analogy,"n. 相似, 类似
"
analogous,"a. 类似的, 相似的
"
appreciative,"a. 有欣赏力的, 感激的"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
colloquial,"a. 会话的, 口语的, 口语体的"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compile,"vt. 编译, 编辑, 编纂, 收集
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composer,"n. 作曲家, 作家, 调停者"
create,"vt. 创造, 建造, 引起, 任命"
creation,"n. 创造, 创作物, 发明
"
creationism,"n. 创造宇宙说, 特别创造说"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
depict,"vt. 描述, 描写"
eminent,"a. 显赫的, 杰出的, 有名的"
preeminent,"a. 优秀的, 超群的, 卓越的"
enchant,"vt. 施魔法, 使入迷"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
essence,"n. 实质, 本质, 香精
"
fragment,"n. 碎片, 破片, 片段
"
fragmented,a. 成碎片的；片断的
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
invaluable,"a. 无价的, 价值无法衡量的"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
loftily,"adv. 高尚地, 傲慢地"
loftiness,"n. 高尚, 崇高"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
maternal,"a. 母亲的, 母系的, 母方的
"
optimal,"a. 最佳的, 最理想的
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
prestige,"n. 声望, 威望, 威信
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
unrealistic,"a. 不切实际的, 幻想的"
reality,"n. 实在, 事实, 实体, 逼真
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
remarkably,"adv. 显著地, 引人注目地, 非常地"
restrict,"vt. 限制, 限定, 约束
"
restricted,"a. 受限制的, 有限的"
restriction,"n. 限制, 限定, 约束
"
satire,"n. 讽刺文学, 讽刺"
satirical,"a. 讽刺的, 讥讽的, 好挖苦的, 写讽刺作品的"
simultaneous,"a. 同时的, 同时发生的
"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
spiritually,adv. 在精神上地
strangle,"vt. 勒死, 扼死, 压制, 使窒息, 抑制
vi. 被扼死, 被绞死, 窒息而死"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
structural,"a. 结构的, 建筑的
"
infrastructure,"n. 基础结构, 基础设施
"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
typical,"a. 典型的, 象征性的
"
typically,adv. 代表性地；作为特色地
underestimate,"n. 低估
vt. 低估, 看轻"
unique,"a. 独一无二的, 独特的, 稀罕的"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
aesthetics,n. 美学
amazing,a. 令人惊异的
angel,"n. 天使, 守护神, 善人"
anthem,"n. 圣歌, 赞美诗"
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
archway,"n. 拱门, 拱道"
autobiographic,"a. 自传的, 自传体的"
autobiographical,"a. 自传的, 自传体的"
autobiography,n. 自传
axiom,"n. 自明之理, 公理, 原理, 格言
"
bestseller,n. 畅销书
biography,n. 传记
biographical,a. 传记的
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
calligraphy,"n. 笔迹, 书法"
canvas,"n. 帆布, 画布, 油画
"
carve,"v. 雕刻, 切开"
chord,"n. 弦, 和音
"
classical,"a. 古典的, 正统派的, 经典的
"
conservatism,"n. 保守, 守旧性, 保守主义, "
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
creative,"a. 有创造力的, 创作的, 产生的"
creativity,"n. 创造力, 创造性"
designer,"n. 设计者, 谋划者, 制图者
"
dignified,"a. 有尊严的, 高尚的"
drummer,"n. 鼓手, 旅行推销员
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
emerald,"n. 翡翠, 绿宝石, 翠绿色
a. 翡翠的, 翠绿色的"
encyclopedia,n. 百科全书
encyclopaedia,n. 百科全书
ending,"n. 终止, 终了, 收场
"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
fairy,"n. 仙女, 精灵
a. 仙女的"
fiction,"n. 小说, 虚构故事
"
flute,"n. 笛, 横笛, 凹槽
vi. 吹笛子
vt. 用长笛奏, 刻凹槽于"
foreword,"n. 前言, 序"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
genre,"n. 类型, 流派"
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
humourous,"a. 富幽默感的, 滑稽的"
idiom,"n. 习语, 成语, 惯用语法, 方言"
idiomatic,"a. 符合语言习惯的, 惯用的, 有许多习语的"
illusion,"n. 幻影, 错觉, 幻想
"
imaginable,"a. 可想像的, 可能的"
imaginary,"a. 想像的, 虚构的, 假想的"
imagination,"n. 想像, 听觉, 想像力
"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
inscription,"n. 题字, 碑铭
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
ironical,"a. 讽刺的, 用反语的"
ironically,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地"
legend,"n. 传说, 传奇文学, 图例
"
literary,"a. 文学的, 文艺的, 精通文学的
"
literature,"n. 文学, 文艺, 著作
"
mainstream,n. 主流
masterpiece,"n. 杰作, 名著"
memoir,"n. 传记, 实录, 追思录, 回忆录, 自传
"
metaphor,n. 隐喻
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
motto,"n. 箴言, 座右铭, 警句"
musician,"n. 音乐家, 乐师, 作曲家"
mystery,"n. 秘密, 神秘, 奥秘"
myth,"n. 神话, 虚构的事, 虚构的人"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
narration,"n. 叙述, 故事, 叙述文
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
narrator,"n. 讲述者, 叙述者
"
omission,"n. 省略, 遗漏, 疏忽
"
opera,n. 歌剧
orchestra,"n. 管弦乐队, 乐队演奏处"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
photography,"n. 摄影, 摄影术
"
playwright,n. 剧作家
poetic,"a. 诗的, 诗意的, 诗人的"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
pottery,"n. 陶器, 陶器厂
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
prop,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨
vt. 支撑, 维持"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
puzzlement,n. 迷惑
radicalism,n. 激进主义
realism,"n. 写实主义, 现实, 实在论
"
realist,"n. 现实主义者, 写实主义者, 实在论者"
reasoning,"n. 推论, 推理, 论证
"
recital,"n. 背诵, 吟诵, 详述
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
renowned,"a. 有名的, 有声誉的"
reputation,"n. 名誉, 名声, 声望
"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
rhythmic,"a. 有韵律的, 有节奏的"
rhythmical,"a. 有韵律的, 有节奏的
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
romanticism,"n. 浪漫主义精神, 浪漫主义"
satirise,"vt. 讽刺, 讥刺, 用讽刺文抨击, 讽刺地描绘
vi. 写讽刺文, 讲讽刺话"
satirize,"vt. 讽刺, 挖苦
vi. 写讽刺作品"
satirist,"n. 讽刺作者, 爱挖苦的人"
saying,"n. 叙述, 话, 说, 言论"
scepticism,"n. 怀疑论, 怀疑主义
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
scriptwriter,n. 编剧
scroll,"n. 卷轴, 画卷, 名册, 条幅, 滚动
v. (使)成卷形
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
sculptor,n. 雕刻家
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
"
simile,"n. 明喻, 明喻说法"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
statue,"vt. 以雕像装饰
n. 雕像"
subtitle,n. 副标题
suffix,"n. 后缀, 下标
vt. 添后缀
"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
syllable,"n. 音节
vt. 分成音节
"
symphony,"n. 交响乐, 交响曲"
symphonic,"a. 交响乐的, 交响性的, 和声的"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
trio,n. 三重唱
trombone,"n. 长号
"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
version,"n. 一种描述, 版本, 译文
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
watercolor,"n. 水彩颜料, 水彩画"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
writer,"n. 作家, 撰稿者, 抄写员
"
writing,"n. 书写, 著作, 笔迹, 作品
"
baptize,"vt. 施洗礼, 使经受考验, 命名"
belief,"n. 信念, 相信, 信仰"
bless,"vt. 祝福, 祈佑, 使神圣化"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
convention,"n. 大会, 协定, 惯例, 约定
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
creed,"n. 宗教信条, 教义, 纲领"
doctrine,"n. 教条, 学说
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
ethnic,"a. 人种的, 种族的
"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
foretell,"vt. 预言, 预告, 预示"
hereditary,"a. 世袭的, 遗传的
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
humanity,"n. 人性, 人类, 博爱"
knit,"v. 编织, 结合"
kowtow,"n. 磕头
vi. 叩头"
legacy,"n. 祖先传下来之物, 遗赠物
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
immemorial,"a. 太古的, 远古的, 无法追忆的
"
origin,"n. 起源, 起因, 出身, 开端
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
rarely,"adv. 很少地, 罕有地"
reside,"vi. 住, 居留, 属于
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scattered,"a. 分散的, 散乱的
"
selection,"n. 选择, 选文, 精选品
"
selective,"a. 选择的, 选择性的
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
superstition,"n. 迷信
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
symbolise,"vt. 象征, 代表, 作为...的象征
vt.vi. 用符号表示, 使用符号"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
unearth,"vt. 发掘, 掘出, 从洞中赶出, 揭露, 发现"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
altar,"n. 圣坛, 祭坛"
ancestor,"n. 祖先, 祖宗"
ancestral,"a. 祖先的, 祖传的
"
ancestry,"n. 祖先, 世系, 名门出身"
anecdote,"n. 轶事, 奇闻"
anniversary,n. 周年纪念
archbishop,n. 大主教
arena,"n. 角斗场, 舞台, 场地
"
baptism,"n. 浸礼, 洗礼"
barbarian,"n. 野蛮人
a. 野蛮的"
bishop,"n. 主教, (国际象棋中的)象, 热果子酒"
burial,"n. 埋葬, 葬礼
"
carnival,"n. 嘉年华会, 狂欢节, 饮宴狂欢"
carol,"n. 颂歌, 欢乐的歌
v. 歌颂, 欢唱"
catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
cemetery,"n. 墓地, 公墓
"
christ,"n. 基督, 救世主"
churchyard,"n. 教堂墓地, 教堂庭院"
clan,"n. 氏族, 宗族, 集团
"
clergy,"n. 牧师, 僧侣, 神职人员"
coffin,"n. 棺材, 灵柩
vt. 把...装进棺材"
commandment,n. 戒律
concubine,"n. 妾, 姘妇
"
conventional,"a. 传统的, 习惯的, 约定的
"
cowboy,"n. 牛仔, 牛郎, 牧童"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
customary,"a. 习惯的, 惯常的
"
descent,"n. 降落, 家系, 侵袭, 血统
"
destiny,"n. 命运, 定数"
dialect,"n. 方言, 同源语"
disciple,"n. 弟子, 门徒"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
earthly,"a. 地球的, 俗世的, 可能的"
embroider,"vt. 刺绣, 镶边, 装饰
vi. 绣花"
embroidery,"n. 刺绣品, 粉饰, 刺绣"
engrave,"vt. 刻上, 雕刻, 铭记"
eve,"n. 前夕, 前夜"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
fate,"n. 命运, 运气
vt. 注定"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
handicraft,"n. 手工艺, 手艺
"
heathen,"n. 异教徒, 异族人, 粗野的人
a. 异教的, 野蛮的"
hell,"n. 地狱, 邪恶势力, 苦境, 阴间, 毁坏, 训斥
vi. 狂饮, 飞驰"
hermit,"n. 隐士, 隐居者"
hymn,"n. 赞美诗, 圣歌
v. 唱赞美歌"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
institutional,"a. 制度的, 公共机构的, 学会的
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
monastery,"n. 修道院, 僧侣"
monk,"n. 修道士, 僧侣, 和尚"
orthodox,"a. 正统的, 传统的, 惯常的"
paradise,"n. 天堂, 乐园, 伊甸园"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
pray,"v. 祈祷, 恳求, 请"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
prophet,"n. 预言者, 先知, 提倡者"
puritan,"n. 清教徒
a. 清教徒的"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
racecourse,"n. 赛马场, 水道, 跑道"
racing,"n. 赛马, 赛车
"
ranch,"n. 大牧场
v. 经营牧场"
religion,"n. 宗教, 信仰
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
saint,"n. 圣徒, 圣人
a. 神圣的
"
salvation,"n. 拯救, 救助, 救世"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
sin,"n. 罪, 犯罪, 过失, 失礼
v. 犯"
supernatural,"a. 超自然的, 神奇的
"
superstitious,"a. 迷信的
"
symbol,"n. 符号, 象征, 代号, 信条
"
symbolic,"a. 象征的, 符号的
"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
symbolism,"n. 象征主义, 符号论
"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
tattoo,"n. 归营号, 连续有节奏的敲击, 文身, 矮种马
vt. 连续有节奏地敲, 刺花纹于
vi. 作连续有节奏的敲击"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
theology,n. 神学
theologian,n. 神学者
tradition,"n. 传说, 传统, 交付
"
traditional,"a. 传统的, 惯例的
"
traditionally,adv. 传统上；传说上；习惯上
tribal,"a. 部落的, 宗族的"
tribute,"n. 贡物, 礼物, 颂辞"
trinity,"n. 三人一组, 三个一组的东西, 三位一体"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
witchcraft,"n. 巫术, 魔法, 魔力"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
arise,"vi. 站立, 出现, 起来"
basis,"n. 基础, 主要成分
"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
coincide,"vi. 一致, 符合
"
conscience,"n. 良心
"
derive,"vt. 得自
vi. 起源"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
destined,"a. 预定的, 注定的, 命定的"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
emigrate,"v. (使)移居, (使)移民"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
enduring,"a. 持久的, 忍耐的"
facilitate,"vt. 使容易, 促进, 帮助
"
foresee,"vt. 预见, 预知"
genuine,"a. 真正的, 真实的, 诚恳的
"
genuinely,adv. 真诚地；诚实地
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
hinder,"a. 后面的
v. 阻碍, 打扰"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
hostility,"n. 敌意, 敌对, 反对"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensely,adv. 强烈地; 极度; 剧烈地
liberate,"vt. 解放, 释放, 使自由
"
migrate,"vi. 移动, 移往, 随季节而移居
"
migration,"n. 移民, 移往, 移动
"
milestone,"n. 里程碑, 里程石, 里程标"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
oppress,"vt. 压迫, 压抑, 使烦恼"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
remains,"n. 剩余物, 废墟, 残余
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
restorative,"a. 恢复健康的, 滋补的
n. 兴奋药, 补药"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
reversal,"n. 翻转, 颠倒, 反转
"
reversely,"adv. 相对地, 反对地"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
situate,"vt. 使位于, 使处于"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
sovereignty,"n. 主权, 独立国
"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
subsequent,"a. 后来的, 接下去的
"
subsequently,"adv. 后来, 随后"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
treaty,"n. 条约, 谈判
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
unify,"v. 统一, 使成一体"
