nursery,"n. 托儿所, 苗圃, 温床
"
facilitate,"vt. 使容易, 促进, 帮助
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
embody,"vt. 具体表达, 使具体化
"
incentive,"n. 动机
a. 激励的"
counterbalance,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
intrinsic,"a. 本质的, 原有的, 真正的
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
fabricate,"vt. 制造, 建造, 装配, 伪造"
juror,"n. 陪审员, 审查委员
"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interference,"n. 冲突, 干涉
"
foggy,"a. 雾深的, 模糊的"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
presumably,"adv. 推测上, 大概"
surpass,"vt. 超越, 凌驾, 胜过"
literacy,"n. 读写能力, 识字, 精通文学"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
propel,"vt. 推进, 驱使
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
monetary,"a. 货币的, 金钱的
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
conclusive,"a. 决定性的, 确定性的, 最后的
"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
mutual,"a. 相互的, 共有的
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
guild,"n. 团体, 协会, 行业协会
"
confer,"vt. 授予, 带来
vi. 协商"
conference,"n. 会议
"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
conspicuous,"a. 显著的, 显眼的, 出众的"
commonality,"n. 共同特性, 平民百姓"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
fissure,"n. 裂缝, 裂沟
v. (使)裂开, (使)分裂"
entrench,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位
vi. 掘壕, 侵犯"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
scanty,"a. 缺乏的, 仅有的, 不够的, 狭小的, 吝啬的"
chromosome,"n. 染色体
"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
consequently,adv. 所以
unjust,"a. 不公平的
"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
interpretation,"n. 解释, 演出, 翻译
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
consent,"n. 同意, 许可
vi. 同意, 赞同"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
foundation,"n. 基础, 根据, 建立
"
stripe,"n. 斑纹, 条纹
"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
peculiarity,"n. 特质, 特性, 怪癖"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
miserable,a. 悲惨的；痛苦的；卑鄙的
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
emphasise,"vt. 强调, 重读, 加强...的语气, 着重"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
distribute,"vt. 分配, 散布, 分发
"
distribution,"n. 分配
"
redistribution,"n. 重新分配, 再分发
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
zeal,"n. 热心, 热衷, 热诚"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
foremost,"a. 最初的, 最重要的
adv. 在最前"
grammatical,"a. 语法的, 合乎语法的
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
mechanic,"n. 机械工, 技工
a. 手工的"
mechanical,"a. 机械的, 机械性的, 力学的
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertainer,"n. 表演娱乐节目的人, 演艺人员"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
slogan,"n. 呐喊声, 标语, 口号"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
civilise,"vt. 开化, 使文明, (非正式)教化, 使文雅, 教育, 教导
vi. 变成文明社会"
civilisation,"n. 文明, 文明世界, 文化, 开化, 教化"
confess,"v. 承认, 坦白, 忏悔, 供认"
invasion,"n. 侵犯, 侵入, 侵害
"
rake,"n. 耙子, 钱耙, 斜度, 浪子
v. 搜索, 掠过, (用耙子)耙, (使)倾斜"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
emotion,"n. 情绪, 激动, 强烈的情感
"
emotional,"a. 情绪的, 情感的
"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
pastime,"n. 消遣, 娱乐, 游戏"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
surgery,"n. 外科, 手术, 手术室, 换球术"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
brow,"n. 眉毛, 额
"
inquiry,"n. 质询, 探索, 调查, 询盘
"
inquire,"v. 询问, 问明, 查究"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
decent,"a. 有分寸的, 得体的, 大方的"
inspection,"n. 检验, 检查, 视察
"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
sophisticated,"a. 复杂的, 久经世故的
"
appliance,"n. 器械, 用具, 应用
"
congress,"n. 国会, 会议, 讨论会
"
congressional,"a. 会议的, 议会的, 国会的
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investor,"n. 投资者
"
investment,"n. 投资
"
attentive,"a. 注意的, 留心的"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
classification,"n. 分类, 分级
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
infancy,"n. 幼年, 初期, 幼儿期
"
haste,"n. 匆忙, 急忙"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
hasty,"a. 匆匆的, 轻率的, 性怠的"
fruitful,"a. 结果实的, 多实的, 产量多的"
despair,"n. 绝望, 失望
vi. 绝望"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
interactive,"a. 相互作用的, 相互影响的
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
grocery,"n. 食品杂货店, 食品杂货业"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
incompetent,"a. 无能力的, 无资格的, 机能不全的, 不胜任的
n. 无能力者"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
curious,"a. 好奇的, 求知的, 古怪的"
transistor,"n. 晶体管
"
consumption,"n. 消费, 消费量, 痨病
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
despise,vt. 轻视
eve,"n. 前夕, 前夜"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
rarely,"adv. 很少地, 罕有地"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
contempt,"n. 轻视, 轻蔑
"
singular,"n. 单数
a. 异常的, 单一的"
messenger,"n. 报信者, 使者
"
presently,"adv. 目前, 不久"
agony,"n. 极大的痛苦, 挣扎
"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
plough,"n. 犁, 犁过的地
vi. 用犁耕田, 开路
vt. 耕, 犁, 开路"
dumb,"a. 哑的, 不说话的, 无声音的
"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
diligent,"a. 勤勉的, 用功的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
generalisation,"n. 概括, 普遍化, 一般化, 归纳"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
lest,"conj. 以免, 唯恐, 免得"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
objectionable,"a. 会引起反对的, 令人讨厌的"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
outset,"n. 着手, 开头, 最初"
cricket,"n. 蟋蟀, 板球"
smoothly,"adv. 平滑地, 流畅地, 流利地"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
microprocessor,"n. 微处理器
"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
dominant,"a. 占优势的, 支配的
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
hitherto,"adv. 迄今, 至今"
innovation,"n. 改革, 创新
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
indignant,"a. 愤怒的, 愤慨的"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
destiny,"n. 命运, 定数"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
tighten,"vt. 勒紧, 使变紧
vi. 变紧, 绷紧"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
shrug,"n. 耸肩
v. 耸肩"
concession,"n. 特许, 让步, 认可
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
bewilder,"vt. 使迷惑, 使不知所措"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
scapegoat,"n. 替罪羔羊, 替人顶罪者, 替身
"
affirm,"v. 断言, 确认"
reaffirm,"vt. 重申, 再确认"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
deference,"n. 顺从, 尊重"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
fever,"n. 发烧, 发热, 热病
"
feverish,"a. 发热的, 极度兴奋的, 不安的"
amid,"prep. 在其间, 在其中
"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affiliation,"n. 联系, 从属关系
"
aspire,"vi. 渴望, 立志于"
aspiration,"n. 热望, 志向, 渴望
"
defective,"a. 有缺陷的, 欠缺的
n. 有缺陷的人, 不完全变化词"
concise,"a. 简洁的, 简明的"
elegance,"n. 高雅, 典雅, 优雅"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
quota,"n. 配额, 限额
"
comply,"vi. 顺从, 依从
"
excavation,"n. 挖掘, 发掘, 挖掘的洞
"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
majestic,"a. 宏伟的, 庄严的"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flexibility,"n. 弹性, 适应性
"
inflexible,"a. 不屈曲的, 不屈挠的, 顽固的"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
administrative,"a. 管理的, 行政的
"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
rarefy,"vt. 使稀少, 使稀薄, 使纯化, 精炼
vi. 变稀少, 变稀薄"
affinity,"n. 吸引, 姻亲关系, 类同
"
involuntary,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的
"
intellect,"n. 智力, 出众的才华, 知识分子
"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
trustworthy,"a. 可信赖的
"
overburden,"vt. 装载过多, 负担过多, 使过劳
"
reproductive,"a. 生殖的, 再生的, 复制的
"
mighty,"n. 有势力的人
a. 有势力的, 强大的, 有力的
adv. 很, 极"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
impartial,"a. 公平的, 不偏不倚的
"
eminent,"a. 显赫的, 杰出的, 有名的"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
vocational,"a. 职业的
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
arc,"n. 弧, 弧形, 弓形, 弧光
"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
pathway,"n. 路径, 途径
"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
revere,"vt. 崇敬, 敬畏, 尊敬"
arthritis,"n. 关节炎
"
philharmonic,"a. 爱好音乐的, 交响乐团的, 爱乐团体的
n. 音乐爱好者, 音乐协会, 音乐会, 交响乐团"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
clause,"n. 子句, 条款
"
infest,"vt. 骚扰, 寄生于, 大批出没
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
patriarchal,"a. 家长的, 族长的, 由族长统治的
"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
allege,"vt. 宣称, 主张, 提出, 断言
"
allegation,"n. 断言, 主张, 申辩
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
gazette,"n. 报, 公报, 报纸
vt. 在公报上宣布, 刊载于公报"
saliva,"n. 唾液, 唾沫, 涎
"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
pottery,"n. 陶器, 陶器厂
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinction,"n. 消失, 消灭, 废止
"
inclusive,"a. 包含的, 包括的"
parliament,"n. 国会, 议会
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
coordination,"n. 同等, 协调
"
coordinator,"n. 协调者, 同等的人或物
"
accumulation,"n. 积聚, 累积, 积聚物
"
pastel,"n. 粉蜡笔, 粉蜡笔画, 随笔
a. 彩色蜡笔的, 蜡笔画的, 柔和的, 纤弱的"
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
wholesaler,"n. 批发商
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
thorny,"a. 多刺的, 令人苦恼的"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
biological,"a. 生物学的
"
defence,"n. 防卫, 防卫设备
"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
indefensible,"a. 不能防卫的, 无辩护余地的"
milestone,"n. 里程碑, 里程石, 里程标"
skyrocket,"vi. 飞涨, 突升
n. 焰火"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
preoccupation,"n. 抢先占据, 先人之见, 入神
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
predator,"n. 食肉动物, 掠夺者
"
predatory,"a. 掠夺成性的, 捕食生物的, 掠夺的
"
homogenise,vt. 使均匀
disorganise,"vt. 瓦解, 打乱"
monotonous,"a. 单调的, 无变化的"
disposition,"n. 性情, 处置, 处理, 布置
"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
uncharted,"a. 图上未标明的, 未知的
"
cosy,"a. 温暖舒适的
n. 保暖套"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
aggravate,"vt. 使恶化, 使更严重, 加重"
armour,"n. 甲胄, 装甲, 潜水服"
complementary,"a. 补充的, 补足的
"
legislature,"n. 立法机关, 议会, 立法院
"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
confide,"vt. 吐露, 委托
vi. 信赖"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
ignorance,"n. 无知, 愚味
"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
drama,"n. 戏剧, 戏剧艺术"
dramatic,"a. 戏剧性的, 生动的"
dramatise,"vt.vi. 改编为剧本, 戏剧化, 戏剧般地假装, 装假, 具有戏剧性, 使惹人注目"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamorous,"a. 富有魅力的, 迷人的"
orbital,"a. 轨道的, 眼眶的
"
beverage,"n. 饮料
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
bedrock,"n. 基岩, 基本原理, 基础"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
parachute,"n. 降落伞
vi. 跳伞"
augment,"v. 增加, 增长
"
recession,"n. 后退, 凹处, 衰退, 归还
"
patronise,"vt. 庇护, 资助, 赞助, 保护, 光顾, 惠顾, 对...以恩人自居"
discomfort,"n. 困苦, 不适
"
ethnic,"a. 人种的, 种族的
"
ethnicity,n. 种族划分
bankruptcy,"n. 破产者
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
impart,"vt. 给予, 传授, 告知"
obsess,"vt. 迷住, 使困扰"
obsession,"n. 困扰, 困扰人的情绪
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
substantiate,"vt. 使实体化, 证实
"
unsubstantiated,"[法] 未经证实的, 不能肯定的"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
retailer,"n. 零售商人, 传播的人
"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
deceptiveness,n. 虚伪；迷惑骗人
circulation,"n. 流通, 循环, 发行量
"
simulate,"vt. 模拟, 假装, 模仿
"
counteract,"vt. 抵消, 阻碍, 中和
"
frugal,"a. 节俭的, 朴素的"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
propagation,"n. 增殖, 繁殖, 宣传
"
spontaneity,"n. 自然发生, 自生, 自发"
lawsuit,"n. 诉讼
"
deter,"vt. 制止, 吓住, 威慑"
migrate,"vi. 移动, 移往, 随季节而移居
"
migration,"n. 移民, 移往, 移动
"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
disapproval,n. 不赞成
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
stamen,"n. 雄蕊, 雄性花蕊
"
outgrow,"vt. 过大而不适于, 长得比...高(或大、快), 成长得不再具有..."
clergyman,n. 牧师
lineage,"n. 血统, 直系
"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
vaccinate,v. 预防接种
vaccination,"n. 接种疫苗, 种痘
"
pocketbook,"n. 笔记本, 钱袋, 皮夹, 经济来源"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
rubble,"n. 粗石, 碎砖, 粗石堆"
denote,"vt. 指示, 表示"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
everlasting,"a. 永恒的, 持久的
n. 上帝, 神"
ideological,"a. 意识形态的, 空想的
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
collaborate,"vi. 合作, 勾结
"
collaborative,"a. 合作的, 协作的"
metaphysical,"a. 形而上学的, 纯粹哲学的, 抽象的"
naturalisation,"n. 归化, 移入"
conduce,"vi. 有助于, 有益于, 有贡献于, 导致"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
schism,"n. 分裂, 分立, 分裂教会罪
"
auction,"n. 拍卖
vt. 拍卖"
auctioneer,"n. 拍卖商
vt. 拍卖"
diabetes,"n. 糖尿病, 多尿症
"
browser,"n. 吃嫩叶的动物, 浏览书本的人
"
mediation,"n. 调停, 调解, 中介
"
federation,"n. 联邦, 联合, 联盟
"
euthanasia,"n. 安乐死
"
demoralisation,n. demoralise的变形
cyberspace,"[计] 空间, 网控空间"
baseline,"n. 基线, 基准
"
biomedical,a. 生物医学
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
workout,"n. 试验, 试用, 锻炼"
neuroscientist, [医]神经科学家：神经科学各分支的专家
