a,"第一个字母 A; 一个; 第一的
art. "
coalition,"n. 结合体, 结合, 联合
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
cocaine,"n. 可卡因, 古柯碱
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
coincide,"vi. 一致, 符合
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
colleague,"n. 同事, 同僚"
collective,"a. 集体的, 聚集的, 共同的
"
collide,"vi. 碰撞, 互撞, 抵触"
collision,"n. 碰撞, 冲突, 抵触
"
colonel,"n. 陆军上校, 长官"
colonial,"a. 殖民的, 殖民地的
"
colony,"n. 殖民地, 移民队
"
combination,"n. 组合, 合并, 联合
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
commemorate,vt. 纪念
commend,"vt. 嘉奖, 委托给, 推荐"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
committee,"n. 委员会
"
commodity,"n. 农产品, 商品, 有用的物品
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
commonwealth,n. 共和国；联邦；国民整体
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communism,n. 共产主义
community,"n. 社区, 公众, 共有, 共同体
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
comparative,"a. 比较的, 相对的
n. 对手"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
comparison,"n. 比较, 对照, 比喻
"
compassion,"n. 同情, 怜悯"
compel,"vt. 强迫, 迫使"
compensate,"v. 偿还, 补偿, 付报酬"
compensation,"n. 补偿, 赔偿金, 工资
"
compete,"vi. 竞争, 对抗"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
complaint,"n. 诉苦, 抱怨, 控诉
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
complicated,"a. 复杂的
"
complication,"n. 复杂化, 复杂情况
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
comply,"vi. 顺从, 依从
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
comprehend,"vt. 理解, 包括"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
comprise,"vt. 包含, 构成"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
compulsory,"a. 被强制的, 强迫的, 义务的
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
conceive,"vt. 构思, 认为
vi. 怀孕"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentration,"n. 集中, 专心
"
conception,"n. 观念, 概念
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
concerning,"prep. 关于
"
concise,"a. 简洁的, 简明的"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
condemn,"vt. 判刑, 责备, 谴责
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
conference,"n. 会议
"
confess,"v. 承认, 坦白, 忏悔, 供认"
confidence,"n. 信心
"
confident,"a. 有信心的, 有把握的"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
congress,"n. 国会, 会议, 讨论会
"
conjunction,"n. 连接词, 联合, 结合
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conquest,"n. 战胜, 征服, 战利品
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consecutive,"a. 连续的, 联贯的
"
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
consequence,"n. 结果, 重要性
"
consequently,adv. 所以
considerate,"a. 体贴的, 体谅的, 考虑周到的"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
constitute,"vt. 构成, 组成, 任命
"
constitution,"n. 构成, 宪法, 体格
"
constrain,"vt. 强迫, 限制, 关押"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
consultant,"n. 顾问, 征询意见者
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumption,"n. 消费, 消费量, 痨病
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
container,"n. 容器, 集装箱
"
contempt,"n. 轻视, 轻蔑
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
continual,"a. 持续不断的, 继续的
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contradiction,"n. 反驳, 矛盾
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
controversial,"a. 争论的, 论争的, 被议论的"
controversy,"n. 论争, 辩论, 论战, 争论
"
convenience,"n. 方便, 便利的事物, 方便的时候"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
convey,"vt. 传达, 运输, 转让
"
conviction,"n. 定罪, 信服, 坚信
"
convince,"vt. 说服, 使相信
"
cooperate,"vi. 合作, 协力, 配合
"
cooperative,a. 合作的；合作社的
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
cop,"n. 警官
vt. 抓住"
cope,"vi. 竞争, 应付
n. 长袍"
copper,"n. 铜, 警察
"
copyright,"n. 版权, 著作权
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
corporation,"n. 公司, 合作, 法人团体
"
correspond,"vi. 符合, 通信, 相当
"
correspondence,"n. 相符, 通信, 信件
"
correspondent,"n. 通讯记者, 通信者
"
corresponding,"a. 相当的, 一致的, 通信的
"
corridor,"n. 走廊, 回廊, 人口密集地带"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
costly,"a. 昂贵的, 奢华的, 费用大的"
costume,"n. 装束, 服装"
cosy,"a. 温暖舒适的
n. 保暖套"
cottage,"n. 小屋, 茅舍"
council,"n. 会议, 委员会
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
coupon,"n. 息票, 赠券
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtyard,"n. 庭院, 天井"
coward,"n. 懦弱的人, 胆小的人"
craftsman,"n. 工匠, 技工, 手艺人"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
credentials,"n. 信任状, 国书, 文件, 身份证明, 证书
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
cricket,"n. 蟋蟀, 板球"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
crisis,"n. 危机, 危险期, 紧要关头
"
criterion,"n. 标准, 准则, 规范
"
critic,"n. 批评家, 鉴定家"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
criticism,"n. 批评, 评论, 非难
"
criticize,"v. 批评, 吹毛求疵, 非难"
crucial,"a. 决定性的, 重要的, 严厉的
"
cruel,"a. 残酷的, 令人极痛苦的
"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
cube,"n. 立方体, 立方
"
cucumber,"n. 黄瓜
"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
cultivate,"vt. 培养, 耕作"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
cupboard,"n. 食橱, 碗柜, 餐具柜"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
currency,"n. 货币, 通货, 流通, 通用
"
curriculum,"n. 课程
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
cyberspace,"[计] 空间, 网控空间"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
damage,"n. 损害, 伤害
v. 损害"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
database,"n. 数据库
"
dawn,"n. 破晓, 黎明
vi. 破晓"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
deadline,"n. 最后期限, 截止期限
"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dealer,"n. 经销商, 商人
"
dean,"n. 院长, 主持牧师
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
deceit,"n. 欺骗, 谎言
"
deceive,"v. 欺骗, 行骗"
decent,"a. 有分寸的, 得体的, 大方的"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
decisive,"a. 决定性的, 坚定的, 果断的"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
declaration,"n. 宣告, 说明, 宣布
"
declare,"v. 宣布, 声明, 申报, 断言"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
decorate,v. 装饰
decrease,"n. 减少, 减少量
v. 减少"
dedicate,"vt. 献出, 贡献"
deduce,"vt. 推论, 演绎出
"
deduct,"vt. 扣除, 减去
"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
deem,"v. 认为, 相信"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
defect,"n. 缺点
"
definite,"a. 明确的, 一定的
"
definition,"n. 定义, 精确度, 清晰度
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
delegate,"n. 代表
vt. 委派...为代表"
delete,"vt. 删除
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
delicious,a. 美味的
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
democracy,"n. 民主政治, 民主主义
"
democratic,"a. 民主的
"
demonstrate,"vt. 示范, 证明
vi. 示威"
denial,"n. 否认
"
denote,"vt. 指示, 表示"
denounce,"vt. 告发, 抨击, 谴责
"
dense,"a. 密集的, 浓厚的"
density,"n. 密度
"
dental,"a. 牙齿的
"
deny,"v. 否认, 拒绝"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
depict,"vt. 描述, 描写"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
deprive,"vt. 剥夺, 使丧失
"
deputy,n. 副手，代理人
derive,"vt. 得自
vi. 起源"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
deserve,"vt. 该得到, 值得
vi. 应得报答"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
desirable,"a. 令人想望的, 可取的"
desolate,a. 荒凉的
despair,"n. 绝望, 失望
vi. 绝望"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
despise,vt. 轻视
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
dessert,n. 餐后甜点
destination,"n. 目的地, 目标, 目的
"
destiny,"n. 命运, 定数"
destruction,"n. 破坏, 毁灭
"
detach,"vt. 使分离, 分遣
"
detect,"vt. 发现, 察觉, 探测
"
detector,"n. 发现者, 检验器, 检波器
"
determine,"v. 决定, 决心"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
devote,"vt. 投入于, 献身"
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
diagnose,v. 诊断
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
dialect,"n. 方言, 同源语"
diameter,"n. 直径
"
dictation,"n. 听写, 口述, 命令"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
dignity,"n. 尊严, 高贵
"
dilemma,"n. 困境, (进退两难的)窘境"
diligent,"a. 勤勉的, 用功的"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
diminish,"v. (使)减少, (使)变小"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
diplomatic,"a. 外交的, 老练的
"
director,"n. 主管, 导演, 董事
"
directory,"n. 目录, 工商名录, 指南
"
disappoint,vt. 使失望
disaster,"n. 灾祸, 不幸, 彻底失败"
disastrous,"a. 损失惨重的, 悲伤的"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
disclose,"vt. 揭露, 透露
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
discriminate,"v. 区别, 差别待遇"
disease,"n. 疾病, 弊病
"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
displace,"vt. 移置, 替换, 转移"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
dispute,"n. 争论
v. 争论"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
dissolve,"v. 溶解, 解散"
distinct,"a. 清楚的, 显著的, 不同的"
distinction,n. 区别
distinguish,"v. 区别, 辨别"
distort,"vt. 扭曲, 歪曲
"
distract,"vt. 转移, 分心, 使发狂"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
distribute,"vt. 分配, 散布, 分发
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
disturbance,"n. 扰乱, 不安, 忧虑
"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
diverse,"a. 不同的, 变化多的"
diversion,"n. 转移
"
divert,"vt. 转移, 使欢娱
vi. 转移"
dividend,"n. 被除数, 股利
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
divorce,"n. 离婚
vt. 与...离婚"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
doctrine,"n. 教条, 学说
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
documentary,"n. 记录片
a. 文件的"
domain,"n. 领域, 领土, 产业, 范围
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
domestic,"a. 家庭的, 国内的, 驯养的
"
dominant,"a. 占优势的, 支配的
"
dominate,"v. 支配, 占优势"
dormitory,n. 宿舍
downward,a. 向下的
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
dramatic,"a. 戏剧性的, 生动的"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
drawback,"n. 缺点, 退税
"
drawer,"n. 抽屉, 开票人
"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
drought,"n. 干旱, 缺乏"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
drunk,"a. 喝醉了的
drink的过去式"
dubious,"a. 可疑的, 不确定的"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
dumb,"a. 哑的, 不说话的, 无声音的
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
dwell,"vi. 居住, 居住(于), 存在(于)"
dwelling,"n. 住处
"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
dynasty,"n. 朝代, 王朝"
earn,"vt. 赚得, 获得, 博得
"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
ecology,"n. 生态学, 社会生态学
"
economical,"a. 节俭的, 经济的, 合算的
"
edible,"n. 食品, 食物
a. 可食用的"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
edition,"n. 版本, 版, 翻版"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
efficiency,"n. 效率, 效能, 功效
"
ego,"n. 自我
"
eject,"vt. 逐放, 放逐, 喷射
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
electric,"a. 电的, 导电的, 电动的
"
electrical,"a. 电的, 有关电的
"
electrician,"n. 电学家, 电气技师, 电工
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
electron,"n. 电子
"
electronic,"a. 电子的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
element,"n. 元件, 元素, 要素
"
elementary,"a. 初步的, 基本的
"
elevate,"vt. 举起, 提拔, 鼓舞"
elevator,"n. 电梯, 升降机
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassing,"a. 令人为难的, 麻烦的"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
embody,"vt. 具体表达, 使具体化
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
emigrate,"v. (使)移居, (使)移民"
eminent,"a. 显赫的, 杰出的, 有名的"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
emphasis,"n. 强调, 加强, 重点, 强语气"
emphasize,"vt. 强调, 加强语气, 着重"
empirical,"a. 完全跟据经验的, 经验主义的
"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
enclosure,"n. 附件, 围墙, 围绕
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
encyclopedia,n. 百科全书
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endow,"vt. 捐赠, 捐助, 赋予
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
enforce,"vt. 强迫, 执行, 坚持
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engagement,"n. 诺言, 约会, 婚约, 交战
"
enhance,"vt. 提高, 加强, 增加"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enormous,"a. 巨大的, 庞大的"
enrich,"vt. 使富足, 使肥沃"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
ensure,"vt. 确定, 保证, 担保, 保护
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertainment,"n. 娱乐, 款待, 娱乐表演"
enthusiasm,"n. 巨大的热情, 热心"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
entity,"n. 实体, 实存物, 存在
"
entrepreneur,"n. 企业家, 主办人
"
envisage,"vt. 面对, 正视, 想象"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
equality,"n. 平等, 均匀, 相等
"
equation,"n. 相等, 等式, 平衡
"
equip,"vt. 装备, 配备
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
erase,"vt. 抹去, 擦掉
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
erroneous,"a. 错误的, 不正确的
"
erupt,"vi. 爆发
vt. 喷出"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
establishment,"n. 确立, 制定, 设施
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
eternal,"a. 永恒的, 永远的, 不灭的"
ethnic,"a. 人种的, 种族的
"
evacuate,"v. 疏散, 撤出, 排泄"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
evaluate,"vt. 评估, 评价, 赋值"
eventually,"adv. 最后, 终于"
evidence,"n. 根据, 证据, 迹象
"
evident,"a. 显然的, 明显的"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
evoke,"vt. 唤起, 引起, 召(魂)
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
exaggerate,"v. 夸大, 夸张"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exceedingly,"adv. 极端地, 极度地, 非常"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
excerpt,"n. 摘录
v. 引用, 摘录"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
