accuracy,"n. 精确, 正确
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
hijack,"vt. 抢劫, 劫持, 敲诈
"
identical,"a. 同一的, 恒等的, 完全相同的
"
insurance,"n. 保险, 保险业, 保险费
"
insure,"vt. 保险, 确保
vi. 投保"
invaluable,"a. 无价的, 价值无法衡量的"
latter,"a. 后者的, 较后的, 近来的"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
massive,"a. 大而重的, 宽大的, 宏伟的
"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
mutual,"a. 相互的, 共有的
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
opt,vi. 选择
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
prestige,"n. 声望, 威望, 威信
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
reluctant,"a. 不情愿的, 勉强的
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
response,"n. 反应, 回答, 响应
"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
utilize,vt. 利用
utilise,"vt. 利用, 运用, 使用"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
agreeable,"a. 令人愉快的, 同意的
"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
category,"n. 种类, 类项
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
erupt,"vi. 爆发
vt. 喷出"
exclude,"vt. 除外, 排除, 排斥
"
exclusive,"a. 排外的, 独占的, 唯一的
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extensive,"a. 广的, 广泛的, 多方面的
"
extent,"n. 范围, 程度, 区域
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
inhabit,"vt. 居住于, 占据, 栖息"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
logical,"a. 合乎逻辑的, 合理的
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
mobilise,"vi.vt. 动员, 松动, 使活动, 调动, 发动"
mysterious,"a. 神秘的, 难解的, 不可思议的"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
presumably,"adv. 推测上, 大概"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
ratio,"n. 比, 比率
"
rely,"vi. 信赖, 依赖, 信任"
rival,"n. 对手, 竞争者
a. 竞争的"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
summarize,"v. 概述, 总结"
summarise,"vt. 概括, 总结, 摘要, 概述"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
transcend,"vt. 超越, 胜过"
typical,"a. 典型的, 象征性的
"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
adapt,"vt. 使适应, 改编
vi. 适应"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
argument,"n. 争论, 论证, 论据, 自变量
"
assurance,"n. 保证, 把握, 信心, 保险
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
ban,"n. 禁令
vt. 禁止, 取缔"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
commemorate,vt. 纪念
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
enable,"vt. 使能够
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
gorgeous,"a. 华丽的, 灿烂的"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
hinder,"a. 后面的
v. 阻碍, 打扰"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
inhale,"vt. 吸入
vi. 吸气"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
invent,"vt. 发明, 创作, 虚构
"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
masterpiece,"n. 杰作, 名著"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
numerous,"a. 很多的, 数目众多的, 多数的
"
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
terrify,"vt. 使恐惧, 恐吓"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visual,"a. 视觉的
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
abundance,"n. 丰富, 充足, 大量
"
abundant,"a. 丰富的, 充分的, 大量的"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
anecdote,"n. 轶事, 奇闻"
arise,"vi. 站立, 出现, 起来"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
cater,"v. 提供饮食及服务, 投合, 迎合"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
classify,"vt. 分类, 归类, 分等
"
commend,"vt. 嘉奖, 委托给, 推荐"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
democratic,"a. 民主的
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
forbid,"vt. 禁止, 不准, 妨碍
"
furious,"a. 狂怒的, 激烈的, 吵闹的"
govern,"v. 统治, 支配, 管理"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
hint,"n. 暗示, 提示
v. 暗示, 示意"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
incentive,"n. 动机
a. 激励的"
inherent,"a. 固有的, 与生俱来的
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integrity,"n. 正直, 廉正, 完整
"
inverse,"a. 倒转的, 相反的
n. 反向, 反面
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
namely,"adv. 即, 就是, 换句话说"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
overtime,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
poverty,"n. 贫穷, 贫困, 缺乏
"
prevail,"vi. 获胜, 流行, 盛行
"
prevalent,"a. 普遍的, 流行的"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
rational,"a. 理性的, 合理的
n. 有理数"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
rob,"v. 抢夺, 抢掠, 剥夺"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solitary,"n. 独居者
a. 孤独的, 独居的"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
symbol,"n. 符号, 象征, 代号, 信条
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
unanimous,"a. 意见一致的, 无异议的"
vague,"a. 含糊的, 不清楚的, 茫然的"
withstand,"vt. 抵住, 顶住, 经得起"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
astonish,vt. 使惊讶
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
comprehend,"vt. 理解, 包括"
comprehension,"n. 理解, 包含"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
correspond,"vi. 符合, 通信, 相当
"
corresponding,"a. 相当的, 一致的, 通信的
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
demonstrate,"vt. 示范, 证明
vi. 示威"
diagnose,v. 诊断
dispose,"vt. 处理, 排列, 布置
vi. 处置"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
educate,"vt. 教育, 培养, 训练"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
foresee,"vt. 预见, 预知"
furnish,"vt. 供给, 提供, 装设
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
historic,"a. 历史上著名的, 有历史性的"
historical,"a. 历史的, 史实的, 历史上的
"
ignite,"vt. 点燃, 使灼热, 使兴奋"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
obedient,"a. 服从的, 顺从的, 孝顺的
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
powerful,"a. 有力的, 有权力的, 强大的
"
prohibit,"vt. 禁止, 阻止
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
significance,"n. 重要性, 意义, 意味
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
testify,"v. 证明, 作证, 声明, 表明"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
arrange,"v. 安排, 排列, 达成协议
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
blend,"vt. 混合
n. 混合"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
contempt,"n. 轻视, 轻蔑
"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
denote,"vt. 指示, 表示"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dispute,"n. 争论
v. 争论"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
exemplify,"vt. 例证, 例示
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
foremost,"a. 最初的, 最重要的
adv. 在最前"
furthermore,"adv. 此外, 而且"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
handy,"a. 便利的, 敏捷的, 容易取得的
"
ignorance,"n. 无知, 愚味
"
